Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
86,Akolda Manyang\akolda-manyang-1,2017-18,Utah Valley,C,31,25,667,150,238,.630,150,238,.630,0,0,,106,152,.697,85,166,251,25,12,71,74,87,406,11.6
87,A.J. Hammons\aj-hammons-1,2014-15,Purdue,C,34,23,827,157,291,.540,157,284,.553,0,7,.000,91,136,.669,82,144,226,31,17,96,73,87,405,10.1
88,Tyler Davis\tyler-davis-5,2015-16,Texas A&M,C,36,34,820,150,229,.655,150,229,.655,0,0,,105,168,.625,106,118,224,26,20,41,58,95,405,10.0
89,Tony Wroblicky\tony-wroblicky-1,2013-14,American,C,33,33,1055,156,266,.586,156,266,.586,0,0,,90,124,.726,60,178,238,99,34,61,99,115,402,10.9
90,Adonis De La Rosa\adonis-de-la-rosa-1,2017-18,Kent State,C,34,32,874,137,243,.564,137,243,.564,0,0,,128,163,.785,102,155,257,35,21,22,112,122,402,8.6
91,RJ White\rj-white-1,2015-16,North Carolina-Greensboro,C,33,31,898,167,271,.616,159,244,.652,8,27,.296,60,94,.638,69,160,229,36,23,33,58,111,402,10.0
92,Tshilidzi Nephawe\tshilidzi-nephawe-1,2013-14,New Mexico State,C,36,36,1003,136,252,.540,136,252,.540,0,0,,129,207,.623,93,189,282,22,15,52,73,107,401,8.9
93,Kavion Pippen\kavion-pippen-1,2017-18,Southern Illinois,C,33,33,901,179,325,.551,179,325,.551,0,0,,41,63,.651,58,138,196,31,22,45,54,92,399,9.1
94,Cameron Krutwig\cameron-krutwig-1,2017-18,Loyola (IL),C,38,34,899,158,264,.598,158,264,.598,0,0,,83,113,.735,71,162,233,66,20,27,56,48,399,9.8
95,Luke Fischer\luke-fischer-1,2015-16,Marquette,C,33,33,932,158,260,.608,158,260,.608,0,0,,83,122,.680,100,103,203,32,14,47,58,97,399,10.2
96,Kendall Gray\kendall-gray-1,2014-15,Delaware State,C,34,34,1149,150,272,.551,150,271,.554,0,1,.000,97,153,.634,111,290,401,35,15,95,70,92,397,12.0
97,Chris Horton\chris-horton-1,2013-14,Austin Peay,C,30,29,918,163,274,.595,163,274,.595,0,0,,71,122,.582,100,185,285,21,26,92,36,73,397,13.8
98,Percy Gibson\percy-gibson-1,2015-16,Oakland,C,35,23,788,158,295,.536,157,292,.538,1,3,.333,78,108,.722,70,146,216,23,20,34,47,103,395,8.7
99,Quinterian McConico\quinterian-mcconico-1,2016-17,Alabama A&M,C,28,27,853,172,291,.591,172,289,.595,0,2,.000,51,87,.586,60,146,206,19,10,12,47,65,395,10.4
100,Geoffrey Groselle\geoff-groselle-1,2015-16,Creighton,C,35,34,742,146,208,.702,146,208,.702,0,0,,101,145,.697,87,128,215,15,17,45,51,102,393,10.1
101,Cameron Ridley\cameron-ridley-1,2013-14,Texas,C,35,35,896,134,246,.545,134,246,.545,0,0,,124,198,.626,115,172,287,14,18,76,56,102,392,10.3
102,Chris Horton\chris-horton-1,2014-15,Austin Peay,C,30,30,1034,142,310,.458,142,309,.460,0,1,.000,108,156,.692,135,198,333,43,35,70,75,62,392,12.7
103,Tacko Fall\tacko-fall-1,2016-17,Central Florida,C,36,36,947,168,235,.715,168,234,.718,0,1,.000,55,119,.462,129,214,343,20,9,94,90,90,391,10.7
104,Dusan Ristic\dusan-ristic-1,2016-17,Arizona,C,36,34,822,164,295,.556,163,293,.556,1,2,.500,62,81,.765,63,134,197,16,11,16,39,76,391,8.1
105,John Egbunu\john-egbunu-1,2015-16,Florida,C,34,30,857,149,252,.591,149,252,.591,0,0,,92,173,.532,92,128,220,12,15,47,60,110,390,8.7
106,Charles Jackson\charles-jackson-3,2014-15,Tennessee Tech,C,30,30,816,157,275,.571,157,275,.571,0,0,,76,133,.571,111,175,286,14,33,40,47,100,390,11.7
107,RJ White\rj-white-1,2014-15,North Carolina-Greensboro,C,33,21,784,155,278,.558,137,234,.585,18,44,.409,60,104,.577,64,165,229,38,43,50,48,125,388,10.3
108,Shevon Thompson\shevon-thompson-1,2014-15,George Mason,C,31,31,936,151,272,.555,151,272,.555,0,0,,86,139,.619,144,207,351,6,17,34,76,69,388,11.0
109,Aaron Menzies\aaron-menzies-1,2017-18,Seattle,C,34,33,915,151,248,.609,151,248,.609,0,0,,83,128,.648,118,184,302,19,9,79,41,106,385,11.3
110,Dylan Osetkowski\dylan-osetkowski-1,2015-16,Tulane,C,34,34,1100,141,322,.438,129,277,.466,12,45,.267,89,131,.679,90,192,282,53,41,18,76,76,383,8.9
111,Marin Maric\marin-maric-1,2017-18,DePaul,C,28,27,768,138,249,.554,128,219,.584,10,30,.333,96,114,.842,57,129,186,34,21,13,68,73,382,10.4
112,Marin Maric\marin-maric-1,2015-16,Northern Illinois,C,32,31,841,135,279,.484,128,263,.487,7,16,.438,105,156,.673,94,174,268,29,23,38,61,76,382,9.9
113,Kevin Ferguson\kevin-ferguson-1,2015-16,Army,C,29,27,798,154,249,.618,154,249,.618,0,0,,73,105,.695,114,166,280,35,14,46,54,86,381,12.7
114,John Bohannon\john-bohannon-1,2013-14,Texas-El Paso,C,32,29,916,138,240,.575,137,229,.598,1,11,.091,103,153,.673,59,206,265,76,14,53,74,77,380,10.9
115,Johnny Hamilton\johnny-hamilton-1,2017-18,Texas-Arlington,C,34,29,794,146,232,.629,146,231,.632,0,1,.000,87,131,.664,99,175,274,19,17,77,64,98,379,10.6
116,Ben Aird\ben-aird-1,2013-14,Utah Valley,C,32,32,946,136,299,.455,126,268,.470,10,31,.323,97,135,.719,57,210,267,51,25,38,45,97,379,9.9
117,Jordan Bachynski\jordan-bachynski-1,2013-14,Arizona State,C,33,33,1020,133,244,.545,133,244,.545,0,0,,113,163,.693,71,201,272,17,12,133,48,99,379,11.5
118,Brandon Goode\brandon-goode-1,2013-14,Norfolk State,C,34,32,951,160,261,.613,160,261,.613,0,0,,58,92,.630,89,144,233,20,15,80,56,114,378,9.8
119,Yanick Moreira\yanick-moreira-1,2014-15,Southern Methodist,C,34,34,828,144,262,.550,144,262,.550,0,0,,89,139,.640,80,139,219,33,24,40,60,61,377,9.4
120,Angus Brandt\angus-brandt-1,2013-14,Oregon State,C,30,30,762,138,265,.521,120,216,.556,18,49,.367,83,109,.761,34,84,118,46,11,22,46,93,377,8.7
121,Przemek Karnowski\przemek-karnowski-1,2013-14,Gonzaga,C,36,36,889,143,241,.593,143,240,.596,0,1,.000,90,180,.500,71,183,254,26,10,62,68,103,376,8.2
122,Ben Lammers\ben-lammers-1,2017-18,Georgia Tech,C,32,32,1151,151,327,.462,149,317,.470,2,10,.200,71,95,.747,77,182,259,54,39,78,47,67,375,11.3
123,Alex Olah\alex-olah-1,2014-15,Northwestern,C,32,32,941,135,278,.486,126,240,.525,9,38,.237,95,127,.748,62,158,220,49,19,59,55,83,374,9.9
124,Cady Lalanne\cady-lalanne-1,2013-14,Massachusetts,C,33,33,956,145,262,.553,143,254,.563,2,8,.250,82,122,.672,103,159,262,6,17,71,59,85,374,10.0
125,Mitchell Patton\mitchell-patton-1,2013-14,IUPUI,C,30,30,911,149,300,.497,149,298,.500,0,2,.000,75,105,.714,61,107,168,17,22,35,40,96,373,8.8
126,Josh Ibarra\josh-ibarra-1,2016-17,Houston Baptist,C,31,30,749,154,259,.595,154,259,.595,0,0,,65,105,.619,86,138,224,29,12,29,48,99,373,9.8
127,Quadir Welton\quadir-welton-1,2015-16,Saint Peter's,C,30,30,949,133,279,.477,133,279,.477,0,0,,106,187,.567,94,151,245,52,24,33,67,87,372,9.7
128,Cady Lalanne\cady-lalanne-1,2014-15,Massachusetts,C,32,32,929,138,250,.552,135,232,.582,3,18,.167,91,143,.636,110,194,304,10,19,61,80,87,370,10.0
129,Nana Foulland\nana-fouland-1,2015-16,Bucknell,C,31,30,818,142,265,.536,142,265,.536,0,0,,81,163,.497,70,143,213,24,16,42,65,81,365,8.4
130,Matt Willms\matt-willms-1,2016-17,Texas-El Paso,C,32,31,857,150,254,.591,150,253,.593,0,1,.000,65,113,.575,44,131,175,33,8,40,74,90,365,7.7
131,AJ West\aj-west-1,2014-15,Nevada,C,30,29,873,125,254,.492,125,254,.492,0,0,,113,174,.649,178,153,331,17,15,79,72,84,363,11.9
132,Norbertas Giga\norbertas-giga-1,2016-17,Jacksonville State,C,33,33,973,142,279,.509,129,242,.533,13,37,.351,65,89,.730,57,210,267,52,24,33,92,96,362,8.2
133,Dererk Pardon\dererk-pardon-1,2017-18,Northwestern,C,32,32,992,143,231,.619,143,230,.622,0,1,.000,75,122,.615,106,121,227,38,18,56,45,93,361,10.9
134,Eric Stuteville\eric-stuteville-1,2016-17,Sacramento State,C,31,30,832,141,223,.632,141,223,.632,0,0,,78,150,.520,90,105,195,13,6,47,53,86,360,9.2
135,Daniel Miller\daniel-miller-1,2013-14,Georgia Tech,C,33,33,1016,149,258,.578,149,258,.578,0,0,,61,99,.616,83,175,258,51,38,80,49,82,359,11.6
136,Michael Buchanan\michael-buchanan-1,2015-16,South Carolina Upstate,C,31,24,672,153,269,.569,153,269,.569,0,0,,53,92,.576,74,113,187,42,17,31,62,88,359,8.8
137,Kaleb Tarczewski\kaleb-tarczewski-1,2013-14,Arizona,C,36,35,1020,128,219,.584,128,219,.584,0,0,,102,135,.756,75,151,226,19,5,36,63,92,358,7.9
138,Albert Owens\albert-owens-1,2017-18,Oral Roberts,C,31,17,763,149,307,.485,148,305,.485,1,2,.500,59,85,.694,57,73,130,21,14,49,41,45,358,8.3
139,Jalone Friday\jalone-friday-1,2016-17,Abilene Christian,C,26,11,563,123,235,.523,87,156,.558,36,79,.456,75,91,.824,41,101,142,9,12,34,41,95,357,9.9
140,Ethan Jacobs\ethan-jacobs-1,2013-14,Colgate,C,31,30,704,131,262,.500,80,139,.576,51,123,.415,43,54,.796,22,110,132,21,7,22,41,73,356,7.6
141,Kyle Tresnak\kyle-tresnak-1,2013-14,Weber State,C,31,31,845,145,244,.594,145,244,.594,0,0,,66,94,.702,40,105,145,23,17,55,46,87,356,9.1
142,Joshua Smith\joshua-smith-1,2014-15,Georgetown,C,33,32,677,131,211,.621,131,211,.621,0,0,,93,144,.646,84,106,190,39,34,22,67,115,355,8.9
143,Youssou Ndoye\youssou-ndoye-1,2014-15,St. Bonaventure,C,30,30,957,111,236,.470,111,235,.472,0,1,.000,133,187,.711,99,203,302,27,20,78,85,88,355,10.5
144,Dwan Caldwell\dwan-caldwell-1,2013-14,Tennessee Tech,C,33,27,819,137,254,.539,137,253,.542,0,1,.000,80,127,.630,88,95,183,14,22,33,58,102,354,7.8
145,Frank Toohey\frank-toohey-1,2016-17,Air Force,C,33,32,819,117,225,.520,96,173,.555,21,52,.404,98,123,.797,62,87,149,52,14,10,58,111,353,7.8
146,Kaleb Tarczewski\kaleb-tarczewski-1,2014-15,Arizona,C,38,37,988,123,215,.572,123,215,.572,0,0,,107,153,.699,62,137,199,13,17,22,53,116,353,6.8
147,Matt Stainbrook\matt-stainbrook-1,2013-14,Xavier,C,33,31,807,145,261,.556,144,258,.558,1,3,.333,60,87,.690,79,165,244,71,24,31,61,89,351,9.7
148,Luke Fischer\luke-fischer-1,2016-17,Marquette,C,32,25,767,150,232,.647,150,232,.647,0,0,,50,85,.588,82,107,189,38,19,53,38,108,350,10.1
149,William Truss\william-truss-1,2013-14,Presbyterian,C,32,32,1067,142,221,.643,141,219,.644,1,2,.500,65,112,.580,81,207,288,17,19,51,60,93,350,10.0
150,Damian Jones\damian-jones-1,2013-14,Vanderbilt,C,31,28,798,138,254,.543,138,254,.543,0,0,,73,134,.545,57,119,176,7,9,43,56,104,349,7.2
151,Dwan Caldwell\dwan-caldwell-1,2014-15,Tennessee Tech,C,30,24,792,138,287,.481,131,269,.487,7,18,.389,66,90,.733,60,98,158,19,17,15,57,83,349,7.2
