Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
290,1981-82,SEA*,NBA,82,52,30,.634,19830,3505,7178,3467,7025,38,153,1747,2362,1103,2544,3647,2103,691,460,1351,2057,8795,4.13,-0.45,3.69,100.0,106.4,102.3,.491,14.1,31.3,0.243,.464,14.4,32.8,0.214
291,1967-68,BOS*,NBA,82,54,28,.659,19705,3686,8371,3686,8371,,,2151,2983,,,5666,1798,,,,2147,9523,4.11,-0.24,3.87,,,,.440,,,0.257,,,,
292,1984-85,PHI*,NBA,82,58,24,.707,19805,3443,6992,3384,6768,59,224,2316,2883,1301,2364,3665,1999,817,534,1575,1971,9261,4.10,0.07,4.17,100.8,111.3,107.3,.497,16.0,37.4,0.331,.494,15.7,33.4,0.259
293,2009-10,DEN*,NBA,82,53,29,.646,19780,3124,6678,2580,5161,544,1517,1937,2508,889,2505,3394,1719,683,417,1136,1844,8729,4.09,0.06,4.15,94.8,111.8,107.5,.509,12.7,26.1,0.290,.495,13.8,27.6,0.251
294,1951-52,BOS*,NBA,66,39,27,.591,,2131,5510,2131,5510,,,1765,2406,,,3750,1606,,,,1734,6027,4.08,-0.47,3.60,,,,.387,,,0.320,,,,
295,1987-88,DEN*,NBA,82,54,28,.659,19780,3770,7961,3578,7399,192,562,1841,2289,1163,2442,3605,2300,832,401,1186,1982,9573,4.07,-0.75,3.32,105.5,110.1,106.3,.486,11.7,29.7,0.231,.498,16.0,32.6,0.260
296,1973-74,DET*,NBA,82,52,30,.634,19755,3453,7515,3453,7515,,,1654,2164,1200,2681,3881,1956,793,419,1763,1930,8560,4.06,-0.04,4.02,106.5,97.6,93.8,.459,17.2,31.3,0.220,.450,17.9,30.4,0.197
297,1958-59,SYR*,NBA,72,35,37,.486,,3050,7490,3050,7490,,,2046,2642,,,4900,1340,,,,1961,8146,4.04,-0.30,3.74,,,,.407,,,0.273,,,,
298,2004-05,HOU*,NBA,82,51,31,.622,19855,2846,6419,2293,4898,553,1521,1551,1986,874,2601,3475,1733,563,378,1135,1807,7796,4.04,0.23,4.27,88.8,106.2,101.7,.486,13.5,26.3,0.242,.459,12.9,25.5,0.245
299,2012-13,IND*,NBA,81,49,32,.605,19590,2845,6525,2290,4926,555,1599,1429,1915,1043,2671,3714,1645,580,513,1227,1623,7674,4.02,-0.69,3.34,90.2,104.3,99.8,.479,14.3,30.3,0.219,.453,12.9,25.4,0.197
300,1993-94,CLE*,NBA,82,47,35,.573,19855,3133,6731,2839,5918,294,813,1736,2254,1090,2353,3443,2049,705,426,1136,1701,8296,4.02,-0.39,3.64,91.7,109.4,105.1,.487,12.8,31.8,0.258,.484,14.5,31.0,0.215
301,2019-20,DEN,NBA,12,9,3,.750,2930,480,1092,350,732,130,360,193,257,129,427,556,309,92,64,158,258,1283,4.00,-0.68,3.32,98.1,107.2,103.2,.499,11.6,22.8,0.177,.490,13.1,22.6,0.202
302,1948-49,CHS*,BAA,60,38,22,.633,,1905,5750,1905,5750,,,1228,1775,,,,1220,,,,1731,5038,4.00,-0.27,3.73,,,,.331,,,0.214,,,,
303,2008-09,HOU*,NBA,82,53,29,.646,19805,2959,6526,2338,4870,621,1656,1531,1903,862,2662,3524,1662,548,355,1158,1553,8070,4.00,-0.27,3.73,90.2,108.4,104.0,.501,13.6,26.4,0.235,.479,11.9,24.7,0.192
304,1997-98,SAS*,NBA,82,56,26,.683,19830,2898,6187,2596,5324,302,863,1489,2164,984,2638,3622,1839,516,568,1318,1731,7587,3.99,-0.69,3.30,88.4,103.8,99.4,.493,15.6,30.6,0.241,.437,12.2,27.8,0.218
305,1989-90,BOS*,NBA,82,52,30,.634,19705,3563,7148,3457,6744,106,404,1791,2153,1066,2707,3773,2423,539,455,1256,1717,9023,3.99,-0.76,3.23,98.2,112.0,107.9,.506,13.4,31.5,0.251,.477,10.8,27.9,0.223
306,2013-14,POR*,NBA,82,54,28,.659,19855,3207,7134,2437,5063,770,2071,1569,1926,1022,2786,3808,1904,454,387,1125,1576,8753,3.99,0.45,4.44,94.9,111.5,107.4,.504,12.4,28.0,0.220,.488,11.0,25.3,0.194
307,2018-19,DEN*,NBA,82,54,28,.659,19730,3439,7384,2536,4813,903,2571,1294,1714,972,2832,3804,2245,634,363,1102,1644,9075,3.95,0.24,4.19,97.7,113.0,108.9,.527,11.9,26.6,0.175,.521,12.3,22.0,0.194
308,1976-77,PHI*,NBA,82,50,32,.610,19780,3511,7322,3511,7322,,,2012,2732,1293,2752,4045,1966,814,561,1915,2074,9034,3.94,-0.16,3.78,108.3,101.2,97.6,.480,18.3,34.6,0.275,.451,16.7,34.0,0.197
309,2016-17,UTA*,NBA,82,51,31,.622,19755,3033,6515,2242,4387,791,2128,1401,1875,771,2774,3545,1651,550,410,1118,1545,8258,3.94,0.06,4.00,91.6,109.6,105.3,.526,13.2,23.2,0.215,.493,11.8,21.1,0.195
310,1979-80,MIL*,NBA,82,49,33,.598,19805,3685,7553,3635,7398,50,155,1605,2102,1245,2396,3641,2277,778,510,1496,1937,9025,3.94,-0.37,3.57,102.4,106.8,102.9,.491,15.0,35.2,0.212,.467,16.2,36.2,0.229
311,1986-87,MIL*,NBA,82,50,32,.610,19780,3457,7282,3272,6710,185,572,1953,2549,1119,2322,3441,2044,845,393,1260,2180,9052,3.91,0.12,4.04,100.3,109.5,105.6,.487,13.0,31.1,0.268,.479,16.0,33.9,0.307
312,1973-74,BOS*,NBA,82,56,26,.683,19780,3630,7969,3630,7969,,,1677,2097,1378,3074,4452,2187,561,305,1796,1868,8937,3.91,-0.49,3.42,110.0,98.6,95.1,.456,16.8,34.6,0.210,.443,15.2,26.9,0.186
313,1991-92,GSW*,NBA,82,55,27,.671,19880,3767,7427,3513,6664,254,763,1944,2606,1137,2376,3513,2064,854,375,1353,2049,9732,3.90,-0.14,3.77,103.4,113.6,109.9,.524,13.6,31.8,0.262,.499,14.9,35.8,0.256
314,2003-04,LAL*,NBA,82,56,26,.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052,3.90,0.45,4.35,92.3,105.5,101.3,.481,12.8,28.1,0.244,.471,14.3,26.7,0.222
315,1993-94,ORL*,NBA,82,50,32,.610,19730,3341,6883,2947,5746,394,1137,1590,2346,1177,2356,3533,2070,683,456,1327,1713,8666,3.89,-0.21,3.68,95.2,110.8,106.7,.514,14.4,33.8,0.231,.479,13.3,33.7,0.214
316,1991-92,NYK*,NBA,82,51,31,.622,19855,3312,6947,3111,6329,201,618,1503,2049,1185,2489,3674,2130,634,382,1242,1905,8328,3.89,-0.22,3.67,92.9,108.3,104.2,.491,13.7,34.6,0.216,.471,14.0,28.9,0.248
317,2000-01,MIL*,NBA,82,52,30,.634,19780,3112,6798,2550,5317,562,1481,1474,1874,975,2500,3475,1844,672,386,1123,1928,8260,3.88,-0.74,3.14,92.1,108.8,104.6,.499,12.8,28.1,0.217,.473,14.4,28.9,0.253
318,1994-95,PHO*,NBA,82,59,23,.720,19830,3356,6967,2772,5383,584,1584,1777,2352,1027,2403,3430,2198,687,312,1167,1839,9073,3.88,-0.02,3.86,95.9,114.5,110.4,.524,12.7,29.7,0.255,.515,14.0,30.2,0.228
319,2004-05,DET*,NBA,82,54,28,.659,19955,2851,6421,2488,5368,363,1053,1588,2150,1054,2507,3561,1787,576,497,1133,1638,7653,3.87,-0.55,3.31,87.2,105.6,101.2,.472,13.3,31.2,0.247,.461,13.5,27.0,0.207
320,2005-06,MIA*,NBA,82,52,30,.634,19755,3039,6355,2542,4914,497,1441,1616,2310,858,2675,3533,1692,522,442,1186,1871,8191,3.87,-0.27,3.59,91.6,108.7,104.5,.517,13.9,26.7,0.254,.477,12.4,23.6,0.251
321,1947-48,BLB*,BAA,48,28,20,.583,,1288,4283,1288,4283,,,994,1443,,,,320,,,,1080,3570,3.85,-0.16,3.69,,,,.301,,,0.232,,,,
322,1980-81,LAL*,NBA,82,54,28,.659,19805,3780,7382,3763,7288,17,94,1540,2113,1165,2491,3656,2363,808,551,1557,1955,9117,3.84,-0.57,3.27,102.7,107.6,103.9,.513,15.8,33.9,0.209,.468,14.6,35.6,0.208
323,1983-84,NYK*,NBA,82,47,35,.573,19855,3386,6837,3339,6672,47,165,1944,2510,1088,2230,3318,2041,803,360,1587,2281,8763,3.84,-0.05,3.79,99.0,107.0,103.1,.499,16.7,33.4,0.284,.491,17.8,31.9,0.281
324,2006-07,CLE*,NBA,82,50,32,.610,19880,2978,6658,2484,5254,494,1404,1484,2133,1039,2529,3568,1708,625,353,1177,1781,7934,3.83,-0.50,3.33,90.8,105.5,101.3,.484,13.4,29.7,0.223,.480,14.7,24.2,0.243
325,1994-95,POR*,NBA,82,44,38,.537,19705,3217,7134,2755,5868,462,1266,1555,2230,1352,2443,3795,1846,668,467,1212,2024,8451,3.82,-0.02,3.80,93.8,109.7,105.7,.483,13.0,37.1,0.218,.491,14.8,26.5,0.277
326,1949-50,AND*,NBA,64,37,27,.578,,1943,6254,1943,6254,,,1703,2343,,,,1240,,,,1806,5589,3.80,-1.38,2.42,,,,.311,,,0.272,,,,
327,1962-63,SYR*,NBA,80,48,32,.600,,3690,8290,3690,8290,,,2350,3005,,,5516,1742,,,,2277,9730,3.79,-0.39,3.40,,,,.445,,,0.283,,,,
328,2010-11,OKC*,NBA,82,55,27,.671,20005,3066,6609,2579,5206,487,1403,1977,2401,903,2604,3507,1672,654,487,1156,1836,8596,3.79,0.02,3.81,92.7,111.2,107.2,.501,13.1,27.4,0.299,.493,12.9,26.4,0.228
329,1988-89,NYK*,NBA,82,52,30,.634,19805,3701,7611,3315,6464,386,1147,1779,2366,1322,2265,3587,2083,900,446,1572,2053,9567,3.77,-0.15,3.62,104.4,111.1,107.5,.512,15.4,36.2,0.234,.504,16.7,34.9,0.249
330,1950-51,PHW*,NBA,66,40,26,.606,,1985,5665,1985,5665,,,1664,2181,,,3586,1432,,,,1710,5634,3.76,-0.36,3.40,,,,.350,,,0.294,,,,
331,1983-84,LAL*,NBA,82,54,28,.659,19780,3854,7250,3796,7024,58,226,1712,2272,1095,2499,3594,2455,726,478,1578,2054,9478,3.76,-0.44,3.32,103.7,110.9,107.3,.536,16.1,33.7,0.236,.487,14.3,33.4,0.232
332,2008-09,SAS*,NBA,82,54,28,.659,19905,3042,6534,2417,4914,625,1620,1249,1641,728,2638,3366,1736,474,329,963,1546,7958,3.76,-0.40,3.36,88.4,108.5,104.3,.513,11.7,22.1,0.191,.487,11.7,22.0,0.191
333,1998-99,IND*,NBA,50,33,17,.660,12100,1731,3866,1437,3067,294,799,977,1228,574,1452,2026,1005,316,223,649,1082,4733,3.74,0.12,3.86,86.4,108.7,104.4,.486,12.8,28.7,0.253,.460,12.7,30.1,0.236
334,1977-78,PHO*,NBA,82,49,33,.598,19780,3731,7836,3731,7836,,,1749,2329,1166,2579,3745,2338,1059,372,1766,1956,9211,3.73,-0.24,3.50,111.4,100.3,97.0,.476,16.6,29.8,0.223,.469,18.6,31.8,0.229
335,2007-08,DEN*,NBA,82,50,32,.610,19855,3307,7038,2738,5433,569,1605,1891,2519,918,2698,3616,2024,752,551,1203,1731,9074,3.71,0.03,3.74,99.7,110.0,106.3,.510,12.9,25.5,0.269,.499,14.1,27.9,0.203
336,1949-50,INO*,NBA,64,39,25,.609,,1982,5283,1982,5283,,,1529,2145,,,,1342,,,,1676,5493,3.70,-1.15,2.59,,,,.375,,,0.289,,,,
337,1978-79,PHO*,NBA,82,50,32,.610,19780,3847,7516,3847,7516,,,1765,2299,1083,2379,3462,2500,915,337,1760,1944,9459,3.70,-0.15,3.55,108.5,105.7,102.4,.512,17.1,30.9,0.235,.495,17.7,34.2,0.211
338,1994-95,IND*,NBA,82,52,30,.634,19780,2983,6248,2609,5263,374,985,1796,2390,1051,2290,3341,1877,703,363,1340,1939,8136,3.70,-0.34,3.35,90.0,109.6,105.6,.507,15.5,32.8,0.287,.493,15.8,31.4,0.237
339,2005-06,MEM*,NBA,82,49,33,.598,19855,2746,6125,2156,4547,590,1578,1476,2077,834,2379,3213,1586,600,442,1134,1757,7558,3.70,0.05,3.74,86.3,105.9,101.6,.496,13.9,25.8,0.241,.469,14.7,28.0,0.237
340,1958-59,STL*,NBA,72,49,23,.681,,2879,7015,2879,7015,,,2072,2757,,,5045,1567,,,,1937,7830,3.69,-0.81,2.89,,,,.410,,,0.295,,,,
341,2002-03,DET*,NBA,82,50,32,.610,19905,2700,6277,2167,4789,533,1488,1559,2021,883,2445,3328,1620,556,468,1104,1748,7492,3.68,-0.71,2.97,86.8,104.1,99.9,.473,13.3,25.9,0.248,.461,13.9,26.0,0.225
342,1987-88,UTA*,NBA,82,47,35,.573,19705,3484,7092,3355,6688,129,404,1802,2404,1066,2553,3619,2407,771,627,1481,1986,8899,3.68,-0.73,2.96,101.5,106.8,103.1,.500,15.4,30.4,0.254,.459,14.9,33.3,0.262
343,1946-47,CHS*,BAA,61,39,22,.639,,1879,6309,1879,6309,,,939,1550,,,,436,,,,1473,4697,3.67,-0.30,3.34,,,,.298,,,0.149,,,,
344,2009-10,BOS*,NBA,82,50,32,.610,19780,3039,6294,2540,4861,499,1433,1559,2090,716,2449,3165,1930,701,402,1219,1816,8136,3.66,-0.29,3.37,91.6,107.7,103.8,.522,14.5,22.8,0.248,.487,14.9,26.2,0.251
345,1982-83,SAS*,NBA,82,53,29,.646,19780,3697,7340,3603,7032,94,308,1887,2468,1232,2599,3831,2261,675,469,1504,2095,9375,3.66,-0.56,3.10,103.3,110.1,106.6,.510,15.1,35.3,0.257,.489,14.4,30.9,0.228
346,1991-92,BOS*,NBA,82,51,31,.622,19780,3543,7196,3433,6837,110,359,1549,1917,1095,2583,3678,2072,636,484,1165,1686,8745,3.62,-0.21,3.41,95.8,110.8,107.0,.500,12.7,31.9,0.215,.469,11.9,31.3,0.220
347,1988-89,MIL*,NBA,82,49,33,.598,19755,3399,7167,3220,6600,179,567,1955,2382,1133,2272,3405,2071,821,323,1305,1953,8932,3.61,0.50,4.11,98.6,110.1,106.4,.487,13.7,32.7,0.273,.493,16.1,32.5,0.266
348,2015-16,ATL*,NBA,82,48,34,.585,19830,3168,6923,2353,4597,815,2326,1282,1638,679,2772,3451,2100,747,486,1226,1570,8433,3.61,-0.12,3.49,97.1,105.1,101.4,.516,13.8,19.1,0.185,.480,14.4,25.4,0.194
349,1979-80,PHO*,NBA,82,55,27,.671,19755,3570,7235,3502,6955,68,280,1906,2466,1071,2458,3529,2283,908,344,1629,1853,9114,3.60,-0.35,3.25,104.8,105.6,102.2,.498,16.4,30.4,0.263,.483,16.5,33.1,0.213
350,1987-88,ATL*,NBA,82,50,32,.610,19780,3443,7102,3358,6820,85,282,1873,2441,1228,2379,3607,2062,635,537,1225,2050,8844,3.60,0.42,4.02,96.4,111.3,107.6,.491,13.0,34.3,0.264,.481,14.2,32.7,0.280
351,2017-18,BOS*,NBA,82,55,27,.671,19805,3141,6975,2202,4483,939,2492,1308,1697,767,2878,3645,1842,604,373,1149,1618,8529,3.59,-0.35,3.23,96.0,107.6,103.9,.518,13.0,21.5,0.188,.495,13.0,21.6,0.191
352,1983-84,DET*,NBA,82,49,33,.598,19905,3798,7910,3766,7769,32,141,1974,2547,1427,2434,3861,2256,697,417,1310,2177,9602,3.59,-0.06,3.52,103.8,111.5,108.1,.482,12.7,36.7,0.250,.500,14.8,32.3,0.263
353,1960-61,STL*,NBA,79,51,28,.646,,3618,8795,3618,8795,,,2147,2921,,,5994,2136,,,,2135,9383,3.56,-0.57,2.99,,,,.411,,,0.244,,,,
354,1983-84,POR*,NBA,82,48,34,.585,19805,3632,7189,3607,7060,25,129,1988,2637,1251,2194,3445,2082,814,397,1483,2134,9277,3.55,-0.42,3.13,101.1,111.2,107.7,.507,15.1,36.4,0.277,.518,17.0,32.6,0.259
355,1997-98,ATL*,NBA,82,50,32,.610,19880,2887,6352,2550,5336,337,1016,1749,2314,1106,2417,3523,1569,653,491,1214,1671,7860,3.51,0.34,3.85,87.7,108.2,104.3,.481,14.1,33.9,0.275,.468,13.0,30.9,0.194
356,1990-91,HOU*,NBA,82,52,30,.634,19855,3403,7287,3087,6298,316,989,1631,2200,1275,2508,3783,1906,796,409,1402,1874,8753,3.50,-0.23,3.27,98.5,107.4,103.9,.489,14.5,34.4,0.224,.469,14.7,33.1,0.220
357,2009-10,OKC*,NBA,82,50,32,.610,19805,3063,6629,2645,5400,418,1229,1778,2210,960,2607,3567,1639,654,481,1227,1743,8322,3.49,0.06,3.55,93.1,108.3,104.6,.494,13.9,28.6,0.268,.483,14.0,26.4,0.229
358,1972-73,CHI*,NBA,82,51,31,.622,19805,3480,7835,3480,7835,,,1574,2073,,,4000,2023,,,,1881,8534,3.49,-0.06,3.43,,,,.444,,,0.201,.471,,,0.220
359,1989-90,SAS*,NBA,82,56,26,.683,19730,3388,6997,3334,6771,54,226,1888,2535,1163,2474,3637,2037,799,554,1399,1854,8718,3.49,0.09,3.58,98.5,107.7,104.2,.488,14.7,34.2,0.270,.477,15.0,31.3,0.235
360,2002-03,IND*,NBA,82,48,34,.585,19905,2911,6608,2532,5489,379,1119,1739,2271,1004,2622,3626,1910,696,443,1210,1811,7940,3.49,-0.70,2.79,91.6,104.6,100.8,.469,13.7,29.0,0.263,.458,14.3,27.7,0.228
361,1946-47,PHW*,BAA,60,35,25,.583,,1510,5384,1510,5384,,,1098,1596,,,,343,,,,1082,4118,3.48,-0.32,3.16,,,,.280,,,0.204,,,,
362,2012-13,HOU*,NBA,82,45,37,.549,19780,3124,6782,2257,4413,867,2369,1573,2087,909,2652,3561,1902,679,359,1348,1662,8688,3.48,0.22,3.69,96.1,109.7,106.1,.525,14.9,26.4,0.232,.502,13.5,24.8,0.196
363,1981-82,PHO*,NBA,82,46,36,.561,19830,3508,7140,3454,6966,54,174,1635,2157,1123,2517,3640,2223,753,429,1528,2029,8705,3.45,-0.40,3.05,99.5,105.8,102.4,.495,15.9,32.2,0.229,.470,14.6,31.5,0.233
364,1993-94,IND*,NBA,82,47,35,.573,19755,3167,6516,2983,6016,184,500,1762,2387,1130,2409,3539,2055,706,457,1440,1974,8280,3.45,-0.19,3.26,93.3,107.8,104.2,.500,16.0,34.4,0.270,.471,14.9,32.0,0.267
365,1986-87,DET*,NBA,82,52,30,.634,19830,3544,7237,3505,7068,39,169,1991,2602,1245,2649,3894,2021,643,436,1417,2078,9118,3.44,0.07,3.51,101.0,109.2,105.8,.492,14.5,34.7,0.275,.471,13.3,30.1,0.267
366,2011-12,ATL*,NBA,66,40,26,.606,16165,2429,5348,1937,4018,492,1330,1025,1385,652,2066,2718,1481,536,303,921,1178,6375,3.44,-0.77,2.67,90.2,104.9,101.2,.500,13.4,23.9,0.192,.480,14.4,25.6,0.186
367,2014-15,HOU*,NBA,82,56,26,.683,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522,3.44,0.38,3.82,96.5,107.0,103.4,.512,15.0,26.8,0.223,.486,14.6,27.1,0.208
368,1998-99,DET*,NBA,50,29,21,.580,12050,1660,3716,1412,3037,248,679,950,1283,605,1412,2017,1009,444,208,790,1139,4518,3.42,0.55,3.97,86.3,104.2,100.3,.480,15.6,30.5,0.256,.468,15.4,28.0,0.259
369,2008-09,DEN*,NBA,82,54,28,.659,19730,3058,6510,2510,5033,548,1477,1891,2487,905,2507,3412,1820,710,492,1257,1874,8555,3.41,-0.29,3.13,94.3,110.4,106.8,.512,14.2,27.5,0.290,.485,14.1,28.3,0.259
370,1969-70,PHI*,NBA,82,42,40,.512,19755,3915,8345,3915,8345,,,2168,2884,,,4463,2127,,,,2196,9998,3.41,-0.10,3.32,,,,.469,,,0.260,,,,
371,2017-18,OKC*,NBA,82,48,34,.585,19830,3271,7221,2390,4730,881,2491,1421,1985,1024,2671,3695,1750,743,412,1147,1653,8844,3.41,0.00,3.42,96.7,110.7,107.2,.514,12.4,27.7,0.197,.525,14.7,22.6,0.193
372,2018-19,OKC*,NBA,82,49,33,.598,19855,3497,7706,2565,5029,932,2677,1461,2049,1031,2911,3942,1917,766,425,1145,1839,9387,3.40,0.15,3.56,102.8,110.3,107.0,.514,11.7,26.0,0.190,.523,14.4,21.8,0.206
373,1984-85,POR*,NBA,82,42,40,.512,19880,3708,7374,3657,7172,51,202,2002,2667,1202,2298,3500,2225,821,516,1481,1957,9469,3.40,-0.60,2.80,103.5,110.4,107.2,.506,14.8,34.0,0.271,.497,15.9,35.6,0.232
374,1987-88,CHI*,NBA,82,50,32,.610,19855,3434,7015,3378,6772,56,243,1685,2221,1170,2459,3629,2149,712,475,1263,1849,8609,3.40,0.35,3.76,95.5,109.0,105.5,.494,13.6,34.0,0.240,.478,13.5,29.4,0.240
375,2001-02,MIN*,NBA,82,50,32,.610,19805,3175,6887,2779,5840,396,1047,1399,1754,1059,2562,3621,1993,524,427,1097,1739,8145,3.38,0.20,3.58,90.5,109.0,105.3,.490,12.5,31.3,0.203,.482,12.7,26.3,0.218
376,2000-01,LAL*,NBA,82,56,26,.683,19905,3109,6685,2670,5410,439,1275,1594,2333,1085,2583,3668,1888,564,490,1184,1872,8251,3.38,0.37,3.74,91.7,108.4,104.8,.498,13.3,31.1,0.238,.468,12.2,27.5,0.234
377,1977-78,SAS*,NBA,82,52,30,.634,19780,3794,7594,3794,7594,,,1797,2234,1030,2594,3624,2240,797,553,1665,1871,9385,3.35,-0.15,3.20,109.0,104.5,101.4,.500,16.3,28.6,0.237,.472,15.7,34.1,0.185
378,1972-73,BAL*,NBA,82,52,30,.634,19730,3656,7883,3656,7883,,,1294,1742,,,4205,2051,,,,1672,8606,3.35,-0.50,2.85,,,,.464,,,0.164,.441,,,0.158
379,1951-52,ROC*,NBA,66,41,25,.621,,2014,5172,2014,5172,,,1661,2150,,,3373,1590,,,,1804,5689,3.35,-0.43,2.92,,,,.389,,,0.321,,,,
380,2018-19,IND*,NBA,82,48,34,.585,19705,3390,7135,2611,5054,779,2081,1298,1727,762,2766,3528,2128,713,404,1122,1594,8857,3.33,-0.57,2.76,98.1,109.9,106.5,.530,12.4,21.9,0.182,.516,14.1,23.8,0.184
381,1990-91,UTA*,NBA,82,54,28,.659,19780,3214,6537,3066,6079,148,458,1951,2472,867,2474,3341,2217,652,451,1305,1796,8527,3.33,-0.15,3.18,95.3,108.6,105.1,.503,14.6,27.6,0.298,.473,13.7,30.8,0.230
382,1991-92,SAS*,NBA,82,47,35,.573,19780,3377,7090,3259,6686,118,404,1652,2246,1229,2552,3781,2010,729,608,1308,1799,8524,3.32,-0.51,2.81,96.2,107.5,104.1,.485,13.9,34.2,0.233,.469,13.5,30.2,0.224
383,2009-10,POR*,NBA,82,50,32,.610,19855,2974,6453,2483,5065,491,1388,1606,2033,913,2383,3296,1674,523,350,1012,1715,8045,3.30,-0.13,3.18,87.7,110.8,107.1,.499,12.1,28.2,0.249,.502,13.3,25.2,0.219
384,1973-74,CHI*,NBA,82,54,28,.659,19780,3292,7378,3292,7378,,,1784,2314,1143,2616,3759,1868,764,316,1690,1874,8368,3.30,-0.10,3.20,105.0,96.7,93.6,.446,16.8,29.5,0.242,.460,18.9,30.3,0.197
385,2011-12,IND*,NBA,66,42,24,.636,15990,2354,5375,1962,4311,392,1064,1349,1724,826,2070,2896,1228,523,357,925,1430,6449,3.30,-0.71,2.60,90.7,106.7,103.1,.474,13.1,29.2,0.251,.476,14.1,27.7,0.222
386,1974-75,GSW*,NBA,82,48,34,.585,19780,3714,7981,3714,7981,,,1470,1915,1416,2854,4270,2076,972,365,1716,2109,8898,3.29,-0.43,2.86,107.6,100.4,97.3,.465,16.3,34.8,0.184,.456,16.0,29.3,0.218
387,1994-95,CHH*,NBA,82,50,32,.610,19805,3051,6438,2491,5029,560,1409,1587,2042,832,2395,3227,2072,620,399,1224,1685,8249,3.28,-0.41,2.87,91.2,109.6,106.1,.517,14.3,26.0,0.247,.485,13.8,31.5,0.202
388,1990-91,DET*,NBA,82,50,32,.610,19805,3194,6875,3063,6435,131,440,1686,2211,1206,2452,3658,1825,487,367,1181,1869,8205,3.27,-0.19,3.08,91.9,108.2,104.6,.474,13.1,34.7,0.245,.464,12.8,29.0,0.248
389,1989-90,CHI*,NBA,82,55,27,.671,19830,3531,7090,3281,6421,250,669,1665,2140,1075,2279,3354,2172,814,388,1247,1906,8977,3.26,-0.51,2.74,96.7,112.3,109.0,.516,13.4,31.9,0.235,.508,15.2,31.9,0.262
390,1995-96,IND*,NBA,82,52,30,.634,19755,2979,6205,2616,5232,363,973,1823,2416,1010,2262,3272,1917,579,323,1335,2031,8144,3.24,-0.14,3.11,89.3,110.8,107.2,.509,15.5,33.0,0.294,.491,14.7,30.7,0.271
391,2013-14,TOR*,NBA,82,48,34,.585,19955,2992,6718,2279,4801,713,1917,1608,2055,935,2552,3487,1737,577,343,1159,1882,8305,3.24,-0.69,2.55,91.8,108.8,105.3,.498,13.2,27.2,0.239,.493,14.1,25.1,0.237
392,2014-15,MEM*,NBA,82,55,27,.671,19905,3097,6763,2674,5517,423,1246,1445,1869,856,2634,3490,1777,700,347,1094,1567,8062,3.24,0.38,3.62,92.0,105.7,102.2,.489,12.6,24.7,0.214,.492,14.5,24.7,0.183
393,1976-77,GSW*,NBA,82,46,36,.561,19780,3724,7832,3724,7832,,,1649,2172,1300,2639,3939,2120,904,432,1624,2058,9097,3.22,-0.12,3.10,107.8,102.4,99.5,.475,15.6,33.0,0.211,.470,17.2,32.2,0.224
394,1982-83,SEA*,NBA,82,48,34,.585,19805,3597,7277,3568,7139,29,138,1796,2459,1152,2569,3721,2278,677,437,1533,1969,9019,3.21,-0.33,2.88,103.2,105.9,102.8,.496,15.5,32.5,0.247,.464,14.3,33.8,0.210
395,2015-16,BOS*,NBA,82,48,34,.585,19780,3216,7318,2499,5176,717,2142,1520,1929,950,2733,3683,1981,752,348,1127,1796,8669,3.21,-0.37,2.84,98.5,106.8,103.6,.488,12.1,25.1,0.208,.487,14.6,25.4,0.231
396,2011-12,NYK*,NBA,66,36,30,.545,15940,2365,5335,1848,3797,517,1538,1211,1634,743,2012,2755,1328,622,276,1056,1391,6458,3.20,-0.81,2.39,93.2,104.4,101.0,.492,14.9,26.6,0.227,.485,15.9,26.3,0.224
397,2016-17,CLE*,NBA,82,51,31,.622,19880,3275,6963,2208,4184,1067,2779,1431,1913,766,2821,3587,1858,539,327,1121,1486,9048,3.18,-0.31,2.87,96.2,113.6,110.3,.547,12.6,21.9,0.206,.516,11.4,24.2,0.174
398,1947-48,NYK*,BAA,48,26,22,.542,,1355,4724,1355,4724,,,868,1291,,,,376,,,,1076,3578,3.15,-0.85,2.30,,,,.287,,,0.184,,,,
399,1986-87,POR*,NBA,82,49,33,.598,19805,3650,7249,3552,6910,98,339,2269,2928,1180,2413,3593,2359,767,387,1546,2082,9667,3.13,-0.57,2.57,105.0,111.5,108.6,.510,15.3,34.1,0.313,.493,14.8,33.4,0.265
400,1979-80,KCK*,NBA,82,47,35,.573,19805,3582,7489,3557,7375,25,114,1671,2250,1187,2429,3616,2123,863,356,1439,2135,8860,3.13,-0.32,2.82,103.2,104.0,101.0,.480,14.5,31.0,0.223,.479,17.9,31.9,0.273
401,1962-63,LAL*,NBA,80,53,27,.663,,3506,7948,3506,7948,,,2230,2931,,,5282,1739,,,,1775,9242,3.13,-0.46,2.67,,,,.441,,,0.281,,,,
