Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
26,1996-97,UTA*,NBA,82,64,18,.780,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454,8.79,-0.82,7.97,90.0,113.6,104.0,.530,14.7,29.7,0.299,.480,15.5,28.4,0.290
27,1990-91,POR*,NBA,82,63,19,.768,19905,3577,7369,3236,6465,341,904,1912,2538,1202,2561,3763,2254,724,410,1309,1975,9407,8.68,-0.21,8.47,100.5,112.8,104.3,.509,13.4,33.8,0.259,.473,14.4,29.6,0.250
28,1967-68,PHI*,NBA,82,62,20,.756,19780,3965,8414,3965,8414,,,2121,3338,,,5914,2197,,,,1851,10051,8.60,-0.64,7.96,,,,.471,,,0.252,,,,
29,1999-00,LAL*,NBA,82,67,15,.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267,8.55,-0.14,8.41,93.3,107.3,98.2,.484,12.7,30.6,0.241,.443,13.4,26.9,0.222
30,1972-73,LAL*,NBA,82,60,22,.732,19755,3740,7819,3740,7819,,,1679,2264,,,4562,2302,,,,1636,9159,8.54,-0.35,8.16,,,,.478,,,0.215,.434,,,0.139
31,2017-18,HOU*,NBA,82,65,17,.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213,8.48,-0.27,8.21,97.6,114.7,106.1,.551,12.7,21.3,0.233,.521,13.4,20.1,0.171
32,2006-07,SAS*,NBA,82,58,24,.707,19780,2999,6328,2404,4767,595,1561,1486,1980,761,2577,3338,1814,587,417,1137,1588,8079,8.43,-0.08,8.35,89.8,109.2,99.9,.521,13.6,24.2,0.235,.471,14.0,24.3,0.201
33,1964-65,BOS*,NBA,80,62,18,.775,19275,3567,8609,3567,8609,,,1890,2587,,,5748,1772,,,,2065,9024,8.41,-0.93,7.46,,,,.414,,,0.220,,,,
34,1949-50,MNL*,NBA,68,51,17,.750,,2139,5832,2139,5832,,,1439,1943,,,,1406,,,,1672,5717,8.34,-0.09,8.25,,,,.367,,,0.247,,,,
35,1959-60,BOS*,NBA,75,59,16,.787,,3744,8971,3744,8971,,,1849,2519,,,6014,1849,,,,1856,9337,8.32,-0.70,7.62,,,,.417,,,0.206,,,,
36,1971-72,CHI*,NBA,82,57,25,.695,19780,3539,7853,3539,7853,,,2039,2700,,,4371,2087,,,,1964,9117,8.26,-0.35,7.91,,,,.451,,,0.260,.454,,,0.266
37,1972-73,MIL*,NBA,82,60,22,.732,19755,3759,7808,3759,7808,,,1271,1687,,,4245,2226,,,,1763,8789,8.22,-0.38,7.84,,,,.481,,,0.163,.422,,,0.168
