Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
29,2005-06,SAS*,NBA,82,63,19,.768,19805,2993,6342,2469,4980,524,1362,1327,1891,851,2548,3399,1717,543,467,1126,1714,7837
30,1971-72,MIL*,NBA,82,63,19,.768,19780,3813,7653,3813,7653,,,1774,2399,,,4269,2160,,,,1862,9400
31,1989-90,LAL*,NBA,82,63,19,.768,19855,3434,7010,3125,6169,309,841,1902,2417,1097,2460,3557,2232,655,445,1226,1737,9079
32,1984-85,BOS*,NBA,82,63,19,.768,19705,3721,7325,3611,7016,110,309,1860,2307,1116,2630,3746,2287,645,414,1332,1781,9412
33,1997-98,CHI*,NBA,82,62,20,.756,19855,3064,6801,2753,5839,311,962,1492,2009,1243,2438,3681,1952,696,353,1178,1691,7931
34,1983-84,BOS*,NBA,82,62,20,.756,19955,3616,7235,3561,7006,55,229,1907,2407,1159,2538,3697,2122,673,430,1420,1949,9194
35,2013-14,SAS*,NBA,82,62,20,.756,19755,3326,6844,2628,5087,698,1757,1289,1642,762,2786,3548,2064,604,420,1180,1495,8639
36,1984-85,LAL*,NBA,82,62,20,.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696
37,1967-68,PHI*,NBA,82,62,20,.756,19780,3965,8414,3965,8414,,,2121,3338,,,5914,2197,,,,1851,10051
38,1980-81,BOS*,NBA,82,62,20,.756,19780,3581,7099,3516,6858,65,241,1781,2369,1155,2424,3579,2202,683,594,1577,1990,9008
39,1980-81,PHI*,NBA,82,62,20,.756,19855,3636,7073,3617,6989,19,84,1865,2427,1091,2618,3709,2369,857,591,1702,2061,9156
40,1997-98,UTA*,NBA,82,62,20,.756,19780,2993,6113,2744,5443,249,670,2044,2644,962,2405,3367,2070,648,412,1260,1961,8279
41,2010-11,CHI*,NBA,82,62,20,.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087
42,2008-09,BOS*,NBA,82,62,20,.756,19880,3075,6333,2537,4978,538,1355,1587,2075,869,2586,3455,1862,621,387,1280,1897,8275
43,1994-95,SAS*,NBA,82,62,20,.756,19855,3236,6687,2802,5529,434,1158,1836,2487,1029,2661,3690,1919,656,456,1246,1871,8742
44,1992-93,PHO*,NBA,82,62,20,.756,19730,3494,7093,3096,5998,398,1095,1912,2539,1141,2510,3651,2087,752,455,1359,1739,9298
45,2004-05,PHO*,NBA,82,62,20,.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054
46,1964-65,BOS*,NBA,80,62,18,.775,19275,3567,8609,3567,8609,,,1890,2587,,,5748,1772,,,,2065,9024
47,1985-86,LAL*,NBA,82,62,20,.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618
48,1987-88,LAL*,NBA,82,62,20,.756,19805,3576,7078,3434,6600,142,478,1956,2480,1073,2491,3564,2347,672,404,1318,1715,9250
49,2001-02,SAC*,NBA,82,61,21,.744,19755,3267,7003,2841,5843,426,1160,1618,2154,1013,2702,3715,1958,741,375,1128,1560,8578
50,1979-80,BOS*,NBA,82,61,21,.744,19880,3617,7387,3455,6965,162,422,1907,2449,1227,2457,3684,2198,809,308,1539,1974,9303
51,1997-98,SEA*,NBA,82,61,21,.744,19755,3052,6458,2431,4889,621,1569,1521,2109,931,2225,3156,1986,804,376,1145,1812,8246
52,2009-10,CLE*,NBA,82,61,21,.744,19780,3101,6391,2499,4809,602,1582,1569,2180,791,2692,3483,1835,564,425,1137,1591,8373
53,2003-04,IND*,NBA,82,61,21,.744,19805,2753,6322,2304,5041,449,1281,1538,2014,965,2452,3417,1774,726,411,1182,1709,7493
54,1990-91,CHI*,NBA,82,61,21,.744,19755,3632,7125,3477,6701,155,424,1605,2111,1148,2342,3490,2212,822,438,1184,1751,9024
55,1997-98,LAL*,NBA,82,61,21,.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652
56,2010-11,SAS*,NBA,82,61,21,.744,19780,3148,6628,2463,4901,685,1727,1521,1984,829,2603,3432,1836,602,372,1101,1556,8502
57,1996-97,MIA*,NBA,82,61,21,.744,19805,2822,6235,2144,4370,678,1865,1454,2022,957,2402,3359,1735,650,439,1306,1919,7776
58,2016-17,SAS*,NBA,82,61,21,.744,19805,3222,6864,2469,4937,753,1927,1440,1806,821,2777,3598,1954,655,484,1101,1498,8637
59,2006-07,PHO*,NBA,82,61,21,.744,19905,3388,6855,2603,4890,785,1965,1476,1827,737,2583,3320,2122,553,394,1189,1659,9037
60,2002-03,DAL*,NBA,82,60,22,.732,19780,3161,6982,2525,5314,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,8444
61,1994-95,UTA*,NBA,82,60,22,.732,19780,3243,6339,2942,5538,301,801,1939,2483,874,2412,3286,2256,758,392,1289,2045,8726
62,2014-15,ATL*,NBA,82,60,22,.732,19730,3121,6699,2303,4547,818,2152,1349,1735,715,2611,3326,2111,744,380,1167,1457,8409
63,1992-93,NYK*,NBA,82,60,22,.732,19930,3209,6898,3016,6294,193,604,1717,2316,1150,2660,3810,2125,680,372,1296,2111,8328
64,1972-73,LAL*,NBA,82,60,22,.732,19755,3740,7819,3740,7819,,,1679,2264,,,4562,2302,,,,1636,9159
65,1961-62,BOS*,NBA,80,60,20,.750,,3855,9109,3855,9109,,,1977,2715,,,6080,2049,,,,1909,9687
66,1974-75,BOS*,NBA,82,60,22,.732,19755,3587,7825,3587,7825,,,1560,1971,1315,2949,4264,2159,662,288,1625,1913,8734
67,2005-06,DAL*,NBA,82,60,22,.732,19880,2948,6375,2532,5262,416,1113,1818,2322,1030,2431,3461,1473,593,488,1112,1834,8130
68,2018-19,MIL*,NBA,82,60,22,.732,19780,3555,7471,2450,4337,1105,3134,1471,1904,762,3316,4078,2136,615,486,1137,1608,9686
69,2012-13,OKC*,NBA,82,60,22,.732,19830,3126,6504,2528,4916,598,1588,1819,2196,854,2725,3579,1753,679,624,1253,1654,8669
