,Date,Team,Acquired,Relinquised,Notes
3446,2013-09-09,Pelicans,,Darius Miller,surgery on left foot to repair stress fracture (out indefinitely)
3447,2013-09-18,Wizards,,Chris Singleton,surgery on left foot (out indefinitely)
3448,2013-09-18,Wizards,,Emeka Okafor,herniated disc in neck (out indefinitely)
3449,2013-09-19,Wizards,,Chris Singleton,surgery on left foot to repair fractured bone (out indefinitely)
3450,2013-09-27,76ers,,Arnett Moultrie,surgery on left ankle (out indefinitely)
3451,2013-09-27,Timberwolves,,Chase Budinger,damaged cartilage in left knee (out indefinitely)
3452,2013-10-01,Thunder,,Russell Westbrook,arthroscopic surgery on right knee (out indefinitely)
3453,2013-10-05,Blazers,,CJ McCollum,fractured bone in left foot (out indefinitely)
3454,2013-10-08,Hawks,,Gustavo Ayon,strained right rotator cuff (out indefinitely)
3455,2013-10-10,Bobcats,,Brendan Haywood,stress fracture in left foot (out indefinitely)
3456,2013-10-10,Mavericks,,Brandan Wright,fractured left shoulder (surgery) (out indefinitely)
3457,2013-10-10,Pistons,,Rodney Stuckey,fractured right thumb (out indefinitely)
3458,2013-10-11,Bucks,,Ekpe Udoh,arthroscopic surgery on right knee (out indefinitely)
3459,2013-10-11,Pistons,,Rodney Stuckey,surgery to repair fractured right thumb (out indefinitely)
3460,2013-10-12,Bobcats,,Cody Zeller,appendectomy (out indefinitely)
3461,2013-10-12,Jazz,,Trey Burke,fractured right index finger (out indefinitely)
3462,2013-10-15,Jazz,,Trey Burke,surgery to repair fractured right index finger (out indefinitely)
3463,2013-10-15,Kings,,Carl Landry,surgery on left hip to repair torn hip flexor muscle (out indefinitely)
3464,2013-10-15,Pistons,,Brandon Jennings,impacted wisdom tooth (out indefinitely)
3465,2013-10-16,Clippers,,Maalik Wayns,surgery on left knee to repair torn meniscus (out indefinitely) (date approximate)
3466,2013-10-17,Bobcats,,Brendan Haywood,surgery on left foot to repair stress fracture (out indefinitely)
3467,2013-10-28,Pacers,,Danny Granger,strained left calf (out indefinitely)
3468,2013-10-29,Bucks,,Carlos Delfino,recovering from surgery on right foot (out indefinitely)
3469,2013-10-29,Cavaliers,,Carrick Felix,sports hernia (out indefinitely)
3470,2013-10-29,Celtics,,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely)
3471,2013-10-29,Hawks,,Lou Williams,recovering from surgery on right knee (out indefinitely)
3472,2013-10-29,Magic,,Doron Lamb,sprained right ankle (DNP)
3473,2013-10-29,Magic,,Tobias Harris,sprained left ankle (DNP)
3474,2013-10-29,Nuggets,,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely)
3475,2013-10-29,Timberwolves,,Chase Budinger,recovering from surgery on left knee (out indefinitely)
3476,2013-10-29,Warriors,,Festus Ezeli,recovering from surgery on right knee (out for season)
3477,2013-10-29,Warriors,,Harrison Barnes,left foot injury (DNP)
3478,2013-10-30,76ers,,Kwame Brown,strained right hamstring (DNP)
3479,2013-10-30,Bobcats,,Ben Gordon,right knee injury (DNP)
3480,2013-10-30,Bucks,,Luke Ridnour,sore back (DNP)
3481,2013-10-30,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
3482,2013-10-30,Jazz,,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP)
3483,2013-10-30,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
3484,2013-10-30,Knicks,,Amar'e Stoudemire,knee injury (DNP)
3485,2013-10-30,Lakers,,Steve Nash,rest (DNP)
3486,2013-10-30,Magic,,Doron Lamb,sprained right ankle (DNP)
3487,2013-10-30,Magic,,Tobias Harris,sprained left ankle (DNP)
3488,2013-10-30,Rockets,,Greg Smith,hip injury (DNP)
3489,2013-10-30,Rockets,,Terrence Jones,strained right shoulder (DNP)
3490,2013-10-30,Warriors,,Harrison Barnes,left foot injury (DNP)
3491,2013-10-31,Warriors,,Harrison Barnes,left foot injury (DNP)
3492,2013-11-01,76ers,,Kwame Brown,strained right hamstring (DNP)
3493,2013-11-01,Bobcats,,Ben Gordon,right knee injury (DNP)
3494,2013-11-01,Bucks,,Brandon Knight,strained right hamstring (DNP)
3495,2013-11-01,Bucks,,Luke Ridnour,back spasms (DNP)
3496,2013-11-01,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
3497,2013-11-01,Jazz,,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP)
3498,2013-11-01,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
3499,2013-11-01,Magic,,Doron Lamb,sprained right ankle (DNP)
3500,2013-11-01,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3501,2013-11-01,Magic,,Tobias Harris,sprained left ankle (DNP)
3502,2013-11-01,Pacers,,George Hill,sore left hip (DNP)
3503,2013-11-01,Rockets,,Omri Casspi,sprained left ankle (DNP)
3504,2013-11-01,Timberwolves,,Ronny Turiaf,fractured right elbow (out indefinitely)
3505,2013-11-01,Warriors,,Jermaine O'Neal,right foot injury (DNP)
3506,2013-11-01,Wizards,,Nene Hilario,strained left calf (DNP)
3507,2013-11-02,Jazz,,Brandon Rush,recovering from surgery on left knee to repair torn ACL (DNP)
3508,2013-11-02,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
3509,2013-11-03,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
3510,2013-11-03,Magic,,Doron Lamb,sprained right ankle (DNP)
3511,2013-11-03,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3512,2013-11-03,Magic,,Tobias Harris,sprained left ankle (DNP)
3513,2013-11-03,Suns,,Alex Len,left ankle injury (DNP)
3514,2013-11-03,Wizards,,Nene Hilario,strained left calf (DNP)
3515,2013-11-04,76ers,,Kwame Brown,strained right hamstring (DNP)
3516,2013-11-04,Warriors,,Harrison Barnes,left toe inflammation (DNP)
3517,2013-11-05,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
3518,2013-11-05,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
3519,2013-11-05,Nuggets,,Anthony Randolph,sprained left ankle (DNP)
3520,2013-11-05,Pacers,,George Hill,sore left hip (DNP)
3521,2013-11-05,Suns,,Alex Len,left ankle injury (DNP)
3522,2013-11-05,Suns,,Goran Dragic,sprained left ankle (DNP)
3523,2013-11-06,76ers,,Kwame Brown,strained right hamstring (DNP)
3524,2013-11-06,Bucks,,Brandon Knight,strained right hamstring (DNP)
3525,2013-11-06,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3526,2013-11-06,Bucks,,Larry Sanders,sprained right thumb (DNP)
3527,2013-11-06,Clippers,,Matt Barnes,thigh injury (DNP)
3528,2013-11-06,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP)
3529,2013-11-06,Knicks,,Tyson Chandler,fractured right fibula (out indefinitely)
3530,2013-11-06,Magic,,Doron Lamb,sprained right ankle (DNP)
3531,2013-11-06,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3532,2013-11-06,Magic,,Tobias Harris,sprained left ankle (DNP)
3533,2013-11-06,Pacers,,George Hill,sore left hip (DNP)
3534,2013-11-06,Suns,,Alex Len,left ankle injury (DNP)
3535,2013-11-06,Suns,,Goran Dragic,sprained left ankle (DNP)
3536,2013-11-06,Wizards,,Trevor Booker,finger injury (DNP)
3537,2013-11-07,Clippers,,Matt Barnes,thigh injury (DNP)
3538,2013-11-07,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP)
3539,2013-11-07,Nuggets,,Anthony Randolph,sprained left ankle (DNP)
3540,2013-11-08,76ers,,Daniel Orton,sore right knee (DNP)
3541,2013-11-08,76ers,,Kwame Brown,strained right hamstring (DNP)
3542,2013-11-08,Bobcats,,Steve Clifford,head coach underwent heart procedure (out indefinitely)
3543,2013-11-08,Lakers,,Steve Nash,rest (DNP)
3544,2013-11-08,Magic,,Doron Lamb,sprained right ankle (DNP)
3545,2013-11-08,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3546,2013-11-08,Magic,,Tobias Harris,sprained left ankle (DNP)
3547,2013-11-08,Suns,,Alex Len,left ankle injury (DNP)
3548,2013-11-08,Suns,,Goran Dragic,sprained left ankle (DNP)
3549,2013-11-08,Timberwolves,,Derrick Williams,back spasms (DNP)
3550,2013-11-08,Warriors,,Stephen Curry,bruised/sprained left ankle (DNP)
3551,2013-11-08,Wizards,,Trevor Booker,finger injury (DNP)
3552,2013-11-09,76ers,,Daniel Orton,sore right knee (DNP)
3553,2013-11-09,76ers,,Kwame Brown,strained right hamstring (DNP)
3554,2013-11-09,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3555,2013-11-09,Bucks,,Larry Sanders,sprained right thumb (DNP)
3556,2013-11-09,Clippers,,Matt Barnes,thigh injury (DNP)
3557,2013-11-09,Grizzlies,,Jerryd Bayless,sprained right knee (DNP)
3558,2013-11-09,Magic,,Doron Lamb,sprained right ankle (DNP)
3559,2013-11-09,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3560,2013-11-09,Magic,,Tobias Harris,sprained left ankle (DNP)
3561,2013-11-09,Mavericks,,Wayne Ellington,DNP
3562,2013-11-10,Nuggets,,JaVale McGee,stress fracture in left tibia (out indefinitely)
3563,2013-11-10,Suns,,Alex Len,sore left ankle (DNP)
3564,2013-11-10,Wizards,,Trevor Booker,finger injury (DNP)
3565,2013-11-11,76ers,,Daniel Orton,sore right knee (DNP)
3566,2013-11-11,76ers,,Kwame Brown,strained right hamstring (DNP)
3567,2013-11-11,Bobcats,Steve Clifford,,head coach returned to team
3568,2013-11-11,Bucks,,Larry Sanders,surgery on right thumb to repair torn ligament (out indefinitely)
3569,2013-11-11,Grizzlies,,Jerryd Bayless,sprained right knee (DNP)
3570,2013-11-11,Lakers,,Steve Nash,nerve irritation in back (out indefinitely)
3571,2013-11-11,Magic,,Doron Lamb,sprained right ankle (DNP)
3572,2013-11-11,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3573,2013-11-11,Magic,,Tobias Harris,sprained left ankle (DNP)
3574,2013-11-11,Rockets,,Francisco Garcia,flu (DNP)
3575,2013-11-11,Rockets,,Greg Smith,flu (DNP)
3576,2013-11-11,Spurs,,Tim Duncan,rest (DNP)
3577,2013-11-12,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3578,2013-11-12,Bucks,,Larry Sanders,recovering from surgery on right thumb to repair torn ligament (DNP)
3579,2013-11-12,Mavericks,,Wayne Ellington,bruised right thigh (DNP)
3580,2013-11-13,76ers,,Kwame Brown,strained right hamstring (DNP)
3581,2013-11-13,76ers,,Michael Carter-Williams,bruised left foot (DNP)
3582,2013-11-13,Bucks,,Brandon Knight,sore/strained right hamstring (DNP)
3583,2013-11-13,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3584,2013-11-13,Bucks,,Gary Neal,sore left foot (DNP)
3585,2013-11-13,Bucks,,Larry Sanders,recovering from surgery on right thumb to repair torn ligament (DNP)
3586,2013-11-13,Bucks,,Zaza Pachulia,sore right foot (DNP)
3587,2013-11-13,Celtics,,Jared Sullinger,bruised right knee (DNP)
3588,2013-11-13,Grizzlies,,Quincy Pondexter,fractured nose (DNP)
3589,2013-11-13,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
3590,2013-11-13,Magic,,Tobias Harris,sprained left ankle (DNP)
3591,2013-11-13,Pelicans,,Greg Stiemsma,sprained MCL in left knee (DTD)
3592,2013-11-13,Rockets,,Greg Smith,flu (DNP)
3593,2013-11-13,Rockets,,James Harden,bruised left foot (DNP)
3594,2013-11-13,Suns,,Alex Len,sore left ankle (DNP)
3595,2013-11-13,Timberwolves,,Kevin Martin,flu (DNP)
3596,2013-11-15,76ers,,Kwame Brown,strained right hamstring (DNP)
3597,2013-11-15,76ers,,Michael Carter-Williams,bruised left foot (DNP)
3598,2013-11-15,Bucks,,Caron Butler,sprained left shoulder (DNP)
3599,2013-11-15,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3600,2013-11-15,Bulls,,Derrick Rose,sore hamstring (DNP)
3601,2013-11-15,Heat,,Udonis Haslem,back spasms (DNP)
3602,2013-11-15,Mavericks,,Wayne Ellington,bruised right thigh (DNP)
3603,2013-11-15,Rockets,,Greg Smith,sprained right knee (DNP)
3604,2013-11-15,Suns,,Alex Len,sore left ankle (DNP)
3605,2013-11-15,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3606,2013-11-16,76ers,,Michael Carter-Williams,bruised left foot (DNP)
3607,2013-11-16,Bucks,,Caron Butler,sprained left shoulder (DNP)
3608,2013-11-16,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
3609,2013-11-16,Celtics,,Courtney Lee,sore right wrist (DNP)
3610,2013-11-16,Celtics,,Keith Bogans,illness (DNP)
3611,2013-11-16,Heat,,Udonis Haslem,back spasms (DNP)
3612,2013-11-16,Magic,,Kyle O'Quinn,sprained right ankle (DNP)
3613,2013-11-16,Magic,,Tobias Harris,sprained left ankle (DNP)
3614,2013-11-16,Mavericks,,Wayne Ellington,bruised right thigh (DNP)
3615,2013-11-16,Nets,,Brook Lopez,sprained left ankle (DNP)
3616,2013-11-16,Nets,,Deron Williams,sprained left ankle (DNP)
3617,2013-11-16,Rockets,,Omer Asik,illness (DNP)
3618,2013-11-16,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3619,2013-11-16,Wizards,,Al Harrington,sore right knee (DTD)
3620,2013-11-16,Wizards,,Trevor Ariza,strained right hamstring (DNP)
3621,2013-11-17,Kings,,Patrick Patterson,bruised left knee (DNP)
3622,2013-11-18,76ers,,Kwame Brown,strained right hamstring (DNP)
3623,2013-11-18,76ers,,Michael Carter-Williams,bruised left foot (DNP)
3624,2013-11-18,Mavericks,,Wayne Ellington,bruised right thigh (DNP)
3625,2013-11-18,Nets,,Deron Williams,sprained left ankle (DNP)
3626,2013-11-19,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
3627,2013-11-19,Rockets,,Greg Smith,sprained right knee (DNP)
3628,2013-11-19,Rockets,,Ronnie Brewer,strained right calf (DNP)
3629,2013-11-19,Suns,,Eric Bledsoe,bruised shin (DNP)
3630,2013-11-19,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3631,2013-11-19,Wizards,,Al Harrington,sore right knee (DNP)
3632,2013-11-19,Wizards,,Trevor Ariza,strained right hamstring (DNP)
3633,2013-11-20,Celtics,,Keith Bogans,illness (DNP)
3634,2013-11-20,Clippers,,Matt Barnes,bruised left eye (DNP)
3635,2013-11-20,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
3636,2013-11-20,Magic,,Kyle O'Quinn,sprained right ankle (DNP)
3637,2013-11-20,Magic,,Tobias Harris,sprained left ankle (DNP)
3638,2013-11-20,Mavericks,,Wayne Ellington,bruised right thigh (DNP)
3639,2013-11-20,Pistons,,Charlie Villanueva,sore back (DNP)
3640,2013-11-20,Raptors,,Quincy Acy,sprained right ankle (DNP)
3641,2013-11-20,Rockets,,Greg Smith,sprained right knee (DNP)
3642,2013-11-20,Rockets,,Ronnie Brewer,strained right calf (DNP)
3643,2013-11-20,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3644,2013-11-20,Wizards,,Trevor Ariza,strained right hamstring (DNP)
3645,2013-11-21,Clippers,,Matt Barnes,bruised left eye (DNP)
3646,2013-11-21,Clippers,,Matt Barnes,surgery on left eye to repair torn retina (out indefinitely)
3647,2013-11-22,Bucks,,Brandon Knight,sore right hamstring (DNP)
3648,2013-11-22,Celtics,,Keith Bogans,illness (DNP)
3649,2013-11-22,Lakers,,Chris Kaman,sore back (DNP)
3650,2013-11-22,Nets,,Deron Williams,sprained left ankle (DNP)
3651,2013-11-22,Nets,,Jason Terry,knee injury (DTD)
3652,2013-11-22,Pacers,,C.J. Watson,upper respiratory infection (DNP)
3653,2013-11-22,Pistons,,Charlie Villanueva,sore back (DNP)
3654,2013-11-22,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3655,2013-11-22,Warriors,,Ognjen Kuzmic,fractured right hand (DNP)
3656,2013-11-22,Wizards,,Trevor Ariza,strained right hamstring (DNP)
3657,2013-11-23,76ers,,Spencer Hawes,sore left knee (DNP)
3658,2013-11-23,76ers,,Tony Wroten,strained lower back (DNP)
3659,2013-11-23,Bulls,,Derrick Rose,torn meniscus in right knee (out for season)
3660,2013-11-23,Celtics,,Keith Bogans,illness (DNP)
3661,2013-11-23,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3662,2013-11-23,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3663,2013-11-23,Grizzlies,,Marc Gasol,sprained MCL in left knee (out indefinitely)
3664,2013-11-23,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
3665,2013-11-23,Magic,,Kyle O'Quinn,sprained right ankle (DNP)
3666,2013-11-23,Rockets,,Greg Smith,sprained right knee (DNP)
3667,2013-11-23,Rockets,,James Harden,sore left foot (DNP)
3668,2013-11-23,Rockets,,Ronnie Brewer,strained right calf (DNP)
3669,2013-11-23,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3670,2013-11-23,Wizards,,Al Harrington,sore right knee (DNP)
3671,2013-11-23,Wizards,,Trevor Ariza,strained right hamstring (DNP)
3672,2013-11-24,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3673,2013-11-24,Lakers,,Chris Kaman,sore back (DNP)
3674,2013-11-24,Nets,,Deron Williams,sprained left ankle (DNP)
3675,2013-11-25,Bulls,,Derrick Rose,surgery on right knee to repair torn meniscus (out for season)
3676,2013-11-25,Celtics,,Keith Bogans,illness (DNP)
3677,2013-11-25,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3678,2013-11-25,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
3679,2013-11-25,Rockets,,Greg Smith,sprained right knee (DNP)
3680,2013-11-25,Rockets,,James Harden,sore left foot (DNP)
3681,2013-11-25,Rockets,,Ronnie Brewer,strained right calf (DNP)
3682,2013-11-25,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
3683,2013-11-26,Lakers,,Chris Kaman,sore back (DNP)
3684,2013-11-26,Nets,,Deron Williams,sprained left ankle (DNP)
3685,2013-11-26,Nets,,Jason Terry,bruised left knee (DNP)
3686,2013-11-26,Wizards,,Al Harrington,sore right knee (DNP)
3687,2013-11-27,76ers,,Spencer Hawes,sore left knee (DNP)
3688,2013-11-27,76ers,,Tony Wroten,strained lower back (DNP)
3689,2013-11-27,Bucks,,Nate Wolters,illness (DNP)
3690,2013-11-27,Cavaliers,,Tyler Zeller,sprained right ankle (DNP)
3691,2013-11-27,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3692,2013-11-27,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3693,2013-11-27,Hawks,,Kyle Korver,bruised ribs (DNP)
3694,2013-11-27,Hawks,,Shelvin Mack,sprained left ankle (DNP)
3695,2013-11-27,Lakers,,Chris Kaman,sore back (DNP)
3696,2013-11-27,Nets,,Deron Williams,sprained left ankle (DNP)
3697,2013-11-27,Rockets,,Greg Smith,sprained right knee (DNP)
3698,2013-11-27,Rockets,,James Harden,sore left foot (DNP)
3699,2013-11-29,Bucks,,Caron Butler,sore left knee (DNP)
3700,2013-11-29,Celtics,,Courtney Lee,sore/sprained left knee (DNP)
3701,2013-11-29,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3702,2013-11-29,Clippers,,Chris Paul,strained right hamstring (DNP)
3703,2013-11-29,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3704,2013-11-29,Lakers,,Chris Kaman,sore back (DNP)
3705,2013-11-29,Magic,,Jameer Nelson,sprained left foot (DNP)
3706,2013-11-29,Nets,,Deron Williams,sprained left ankle (DNP)
3707,2013-11-29,Nets,,Kevin Garnett,rest (DNP)
3708,2013-11-29,Rockets,,Greg Smith,sprained right knee (DNP)
3709,2013-11-29,Rockets,,Jeremy Lin,sprained right knee (DNP)
3710,2013-11-29,Suns,,Alex Len,sore left ankle (DNP)
3711,2013-11-29,Suns,Eric Bledsoe,,returned to lineup
3712,2013-11-29,Wizards,,Nene Hilario,sore right Achilles (DNP)
3713,2013-11-30,Bucks,,Caron Butler,sore left knee (DNP)
3714,2013-11-30,Bucks,,Ersan Ilyasova,sore left hamstring (DNP)
3715,2013-11-30,Celtics,,Courtney Lee,sore left knee (DNP)
3716,2013-11-30,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3717,2013-11-30,Grizzlies,,Zach Randolph,ingrown toenail (DNP)
3718,2013-11-30,Hawks,,Lou Williams,recovering from surgery on right knee (DNP)
3719,2013-11-30,Jazz,,Andris Biedrins,sprained left ankle (out indefinitely)
3720,2013-11-30,Mavericks,,Jose Calderon,bone bruise in right ankle (DNP)
3721,2013-11-30,Nets,,Deron Williams,sprained left ankle (DNP)
3722,2013-11-30,Nets,,Paul Pierce,bruised right hand (DNP)
3723,2013-11-30,Rockets,,Greg Smith,sprained right knee (DNP)
3724,2013-11-30,Rockets,,Jeremy Lin,sprained right knee (DNP)
3725,2013-11-30,Timberwolves,,Shabazz Muhammad,DNP
3726,2013-11-30,Wizards,,Al Harrington,sore right knee (DNP)
3727,2013-12-01,Clippers,,J.J. Redick,fractured right hand (DNP)
3728,2013-12-01,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3729,2013-12-01,Lakers,,Chris Kaman,sore back (DNP)
3730,2013-12-01,Pelicans,,Anthony Davis,fractured left hand (out indefinitely)
3731,2013-12-02,Lakers,,Jordan Farmar,torn left hamstring (out indefinitely)
3732,2013-12-02,Magic,,Jameer Nelson,sprained left foot (DNP)
3733,2013-12-02,Rockets,,Chandler Parsons,sore back / back spasms (DNP)
3734,2013-12-02,Rockets,,Greg Smith,sprained right knee (DNP)
3735,2013-12-02,Rockets,,Jeremy Lin,sprained right knee (DNP)
3736,2013-12-03,Bucks,,Caron Butler,sore left knee (DNP)
3737,2013-12-03,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3738,2013-12-03,Grizzlies,,Zach Randolph,ingrown toenail (DNP)
3739,2013-12-03,Heat,,Dwyane Wade,knee injury (DTD)
3740,2013-12-03,Magic,,Jameer Nelson,sprained left foot (DNP)
3741,2013-12-03,Magic,,Nikola Vucevic,sprained left ankle (DNP)
3742,2013-12-03,Nets,,Deron Williams,sprained left ankle (DNP)
3743,2013-12-03,Nets,,Paul Pierce,fractured right hand (DNP)
3744,2013-12-04,Bobcats,,Michael Kidd-Gilchrist,fractured left hand (out indefinitely)
3745,2013-12-04,Bucks,,Caron Butler,sore left knee (DNP)
3746,2013-12-04,Clippers,,J.J. Redick,fractured right hand (DNP)
3747,2013-12-04,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3748,2013-12-04,Rockets,,Chandler Parsons,sore back (DNP)
3749,2013-12-04,Rockets,,Greg Smith,sprained right knee (DNP)
3750,2013-12-04,Rockets,,Jeremy Lin,sprained right knee (DNP)
3751,2013-12-04,Rockets,,Omer Asik,bruised right thigh (DNP)
3752,2013-12-05,Bulls,,Mike James,right knee injury (DNP)
3753,2013-12-05,Clippers,,J.J. Redick,fractured right hand (DNP)
3754,2013-12-05,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3755,2013-12-05,Grizzlies,,Tony Allen,hip injury (DNP)
3756,2013-12-05,Nets,,Deron Williams,sprained left ankle (DNP)
3757,2013-12-05,Nets,,Paul Pierce,fractured right hand (DNP)
3758,2013-12-06,76ers,,Michael Carter-Williams,sore right knee (DNP)
3759,2013-12-06,Bucks,,Caron Butler,sore left knee (DNP)
3760,2013-12-06,Bucks,,Zaza Pachulia,sprained (P) / fractured (CBC) right foot (DNP)
3761,2013-12-06,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3762,2013-12-06,Knicks,,Amar'e Stoudemire,resting knee injury (DNP)
3763,2013-12-06,Lakers,,Chris Kaman,back spasms (DNP)
3764,2013-12-06,Lakers,,Jordan Farmar,torn left hamstring (DNP)
3765,2013-12-06,Magic,,Nikola Vucevic,sprained left ankle (DNP)
3766,2013-12-06,Rockets,,Greg Smith,sprained right knee (DNP)
3767,2013-12-06,Rockets,,Jeremy Lin,sprained right knee (DNP)
3768,2013-12-06,Rockets,,Omer Asik,bruised right thigh (DNP)
3769,2013-12-06,Wizards,,Al Harrington,sore right knee (DNP)
3770,2013-12-07,76ers,,Michael Carter-Williams,sore right knee (DNP)
3771,2013-12-07,Bucks,,Caron Butler,sore left knee (DNP)
3772,2013-12-07,Bucks,,Zaza Pachulia,sprained right foot (P) (DNP)
3773,2013-12-07,Bulls,,Luol Deng,left calf injury (DNP)
3774,2013-12-07,Bulls,,Mike James,right knee injury (DNP)
3775,2013-12-07,Clippers,,J.J. Redick,fractured right hand (DNP)
3776,2013-12-07,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3777,2013-12-07,Grizzlies,,Ed Davis,sprained right ankle (DNP)
3778,2013-12-07,Grizzlies,,Tony Allen,hip injury (DNP)
3779,2013-12-07,Nets,,Deron Williams,sprained left ankle (DNP)
3780,2013-12-07,Nets,,Paul Pierce,fractured right hand (DNP)
3781,2013-12-07,Nuggets,,Ty Lawson,strained left hamstring (DNP)
3782,2013-12-08,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
3783,2013-12-08,Knicks,,Kenyon Martin,sore left ankle (DNP)
3784,2013-12-08,Lakers,,Chris Kaman,back spasms (DNP)
3785,2013-12-08,Lakers,,Jordan Farmar,torn left hamstring (DNP)
3786,2013-12-08,Magic,,Nikola Vucevic,sprained left ankle (DNP)
3787,2013-12-08,Pistons,,Rodney Stuckey,sore left knee (DNP)
3788,2013-12-08,Raptors,,Quincy Acy,DNP
3789,2013-12-08,Raptors,,Rudy Gay,DNP
3790,2013-12-08,Rockets,,Greg Smith,sprained right knee (DNP)
3791,2013-12-08,Rockets,,Jeremy Lin,sprained right knee (DNP)
3792,2013-12-08,Rockets,,Omer Asik,bruised right thigh (DNP)
3793,2013-12-09,76ers,,Elliot Williams,back injury (DNP)
3794,2013-12-09,76ers,,Michael Carter-Williams,sore right knee (DNP)
3795,2013-12-09,Bobcats,,Bismack Biyombo,sprained right ankle (DNP)
3796,2013-12-09,Bobcats,,Jeffery Taylor,bruised left heel (DNP)
3797,2013-12-09,Bucks,,Zaza Pachulia,fractured right foot (out indefinitely)
3798,2013-12-09,Clippers,,J.J. Redick,fractured right hand (DNP)
3799,2013-12-09,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
3800,2013-12-09,Clippers,,Reggie Bullock,sprained left ankle (DTD)
3801,2013-12-09,Grizzlies,,Ed Davis,sprained left /right (CBC) ankle (DNP)
3802,2013-12-09,Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP)
3803,2013-12-09,Grizzlies,,Tony Allen,hip injury (DNP)
3804,2013-12-09,Magic,,Nikola Vucevic,sprained left ankle (DNP)
3805,2013-12-09,Nuggets,,Ty Lawson,strained left hamstring (DNP)
3806,2013-12-09,Pelicans,,Tyreke Evans,sprained left ankle (out indefinitely)
3807,2013-12-09,Wizards,,Martell Webster,left ankle injury (DNP)
3808,2013-12-09,Wizards,,Nene Hilario,right foot injury (DTD)
3809,2013-12-10,Bucks,,Caron Butler,sore left knee (DNP)
3810,2013-12-10,Bucks,,Gary Neal,plantar faciitis in left foot (DNP)
3811,2013-12-10,Bucks,,Zaza Pachulia,fractured right foot (DNP)
3812,2013-12-10,Bulls,,Joakim Noah,bruised right thigh (DNP)
3813,2013-12-10,Bulls,,Luol Deng,sore left Achilles (DNP)
3814,2013-12-10,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
