,Date,Team,Acquired,Relinquised,Notes
8899,2017-10-25,Grizzlies,,Chandler Parsons,rest (DTD)
8900,2017-10-25,Raptors,,Lucas Nogueira,sprained left ankle (DTD)
8901,2017-10-26,Bucks,Malcolm Brogdon,,returned to lineup
8902,2017-10-26,Bulls,,Paul Zipser,bruised right knee (DTD)
8903,2017-10-26,Mavericks,,Dorian Finney-Smith,left knee tendinitis (DTD)
8904,2017-10-26,Pelicans,,Anthony Davis,left knee tendinitis (DTD)
8905,2017-10-27,Hawks,Ersan Ilyasova,,returned to lineup
8906,2017-10-27,Hornets,,Treveon Graham,bruised right quadriceps (DTD)
8907,2017-10-27,Spurs,,Joffrey Lauvergne,sprained right ankle (DTD)
8908,2017-10-28,76ers,,J.J. Redick,tightness in lower back (DTD)
8909,2017-10-28,Bulls,Paul Zipser,,returned to lineup
8910,2017-10-28,Cavaliers,Dwyane Wade,,returned to lineup
8911,2017-10-28,Nets,,Quincy Acy,strained left groin (DTD)
8912,2017-10-28,Pelicans,Anthony Davis,,returned to lineup
8913,2017-10-29,Cavaliers,,Iman Shumpert,sore right knee (DTD)
8914,2017-10-29,Hornets,,Frank Kaminsky,illness (DTD)
8915,2017-10-29,Hornets,Cody Zeller,,returned to lineup
8916,2017-10-29,Hornets,Treveon Graham,,returned to lineup
8917,2017-10-30,Hornets,Frank Kaminsky,,returned to lineup
8918,2017-10-30,Raptors,,Serge Ibaka,swollen left / right knee (DTD)
8919,2017-10-30,Raptors,Lucas Nogueira,,returned to lineup
8920,2017-10-30,Spurs,,Manu Ginobili,rest (DTD)
8921,2017-10-31,Jazz,,Joe Johnson,sore right wrist (DTD)
8922,2017-10-31,Nets,,Jarrett Allen,strained left foot (DTD)
8923,2017-11-01,Grizzlies,,Mike Conley,sore left Achilles (DTD)
8924,2017-11-01,Heat,,James Johnson,tendinitis in right knee (DTD)
8925,2017-11-01,Pistons,,Jon Leuer,sprained left ankle (DTD)
8926,2017-11-01,Raptors,Serge Ibaka,,returned to lineup
8927,2017-11-02,Cavaliers,,Tristan Thompson,strained left calf (out indefinitely)
8928,2017-11-02,Lakers,,Andrew Bogut,tightness in back (DTD)
8929,2017-11-02,Magic,,D.J. Augustin,strained left hamstring (DTD)
8930,2017-11-02,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
8931,2017-11-03,Hawks,,Malcolm Delaney,sprained right ankle (DTD)
8932,2017-11-03,Heat,James Johnson,,returned to lineup
8933,2017-11-03,Lakers,,Larry Nance,surgery on left hand/thumb to repair fracture (out indefinitley)
8934,2017-11-03,Nets,,Trevor Booker,sore lower back (DTD)
8935,2017-11-04,Bulls,,David Nwaba,sprained right ankle (DTD)
8936,2017-11-04,Grizzlies,Mike Conley,,returned to lineup
8937,2017-11-04,Hawks,,Mike Muscala,sprained left ankle (DTD)
8938,2017-11-04,Pacers,,T.J. Leaf,sprained left ankle (DTD)
8939,2017-11-04,Grizzlies,,Wayne Selden,right quadricep injury (DTD)
8940,2017-11-06,76ers,,Jerryd Bayless,bruised left wrist (DTD)
8941,2017-11-06,Clippers,,Danilo Gallinari,strained left gluteus muscle (DTD)
8942,2017-11-06,Hawks,Malcolm Delaney,,returned to lineup
8943,2017-11-07,Grizzlies,,Wayne Selden,right thigh injury (DTD)
8944,2017-11-07,Nets,,Rondae Hollis-Jefferson,bruised right hip (DTD)
8945,2017-11-08,Suns,,Tyson Chandler,back spasms (DTD)
8946,2017-11-09,Blazers,,C.J. Wilcox,surgery on right knee (date approximate)
8947,2017-11-09,Clippers,,Patrick Beverley,sore right knee (DTD)
8948,2017-11-09,Rockets,,Luc Mbah a Moute,knee injury (DTD)
8949,2017-11-10,76ers,,Nik Stauskas,sprained right ankle (DTD)
8950,2017-11-10,Hornets,,Treveon Graham,bruised right quadriceps (DTD)
8951,2017-11-10,Nets,,Trevor Booker,sore lower back (DTD)
8952,2017-11-10,Nets,Rondae Hollis-Jefferson,,returned to lineup
8953,2017-11-11,Jazz,,Rudy Gobert,bruised tibia in right leg (DTD)
8954,2017-11-11,Magic,,Elfrid Payton,sore left hamstring (DTD)
8955,2017-11-11,Pelicans,,Tony Allen,left knee inflammation (DTD)
8956,2017-11-11,Rockets,Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
8957,2017-11-11,Spurs,,Manu Ginobili,rest (DTD)
8958,2017-11-11,Timberwolves,,Cole Aldrich,sprained left ankle (DTD)
8959,2017-11-11,Timberwolves,,Gorgui Dieng,sprained right index finger (DTD)
8960,2017-11-11,Grizzlies,Wayne Selden,,returned to lineup
8961,2017-11-12,Magic,,Jonathan Isaac,sprained right ankle (DTD)
8962,2017-11-12,Nets,,D'Angelo Russell,bruised left knee (DTD)
8963,2017-11-12,Rockets,,Nene Hilario,sore ankle (DTD)
8964,2017-11-12,Thunder,,Carmelo Anthony,sore lower back (DTD)
8965,2017-11-13,Magic,,Jonathan Isaac,sprained right ankle (DTD)
8966,2017-11-13,Knicks,,Ron Baker,shoulder injury (DTD)
8967,2017-11-14,Heat,,Okaro White,fractured left foot (out indefinitely)
