Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
43,Jordan Caroline\jordan-caroline-1,2017-18,Nevada,F,37,36,1290,221,466,.474,185,355,.521,36,111,.324,178,251,.709,98,221,319,82,26,6,71,87,656,13.7
44,Jameel Warney\jameel-warney-1,2015-16,Stony Brook,F,33,33,1086,272,433,.628,272,433,.628,0,0,,111,178,.624,148,209,357,52,31,98,44,71,655,20.1
45,Isaiah Miles\isaiah-miles-1,2015-16,Saint Joseph's,F,36,36,1239,223,426,.523,158,257,.615,65,169,.385,142,160,.888,84,208,292,31,21,36,41,102,653,15.1
46,Michael Young\michael-young-3,2016-17,Pittsburgh,F,33,31,1097,217,478,.454,175,356,.492,42,122,.344,172,221,.778,53,170,223,90,19,25,70,59,648,14.4
47,T.J. Cline\tj-cline-1,2016-17,Richmond,F,35,35,1137,243,470,.517,195,318,.613,48,152,.316,114,166,.687,30,242,272,197,33,8,103,88,648,15.1
48,Michael Gbinije\michael-gbinije-1,2015-16,Syracuse,F,37,37,1403,225,488,.461,134,256,.523,91,232,.392,106,160,.663,40,111,151,159,70,13,105,98,647,13.0
49,Caleb Swanigan\caleb-swanigan-1,2016-17,Purdue,F,35,35,1139,222,421,.527,184,336,.548,38,85,.447,164,210,.781,96,340,436,106,15,28,118,97,646,15.5
50,Jerome Hill\jerome-hill-1,2014-15,Gardner-Webb,F,34,33,1126,211,446,.473,205,408,.502,6,38,.158,216,344,.628,118,227,345,75,18,23,101,76,644,13.9
51,Shawn Long\shawn-long-1,2015-16,Louisiana,F,34,33,1042,232,443,.524,214,376,.569,18,67,.269,160,235,.681,137,274,411,47,24,61,91,95,642,16.0
52,Perry Ellis\perry-ellis-1,2015-16,Kansas,F,38,38,1150,237,446,.531,209,382,.547,28,64,.438,139,177,.785,67,155,222,49,18,19,56,64,641,12.8
53,Tyler Cavanaugh\tyler-cavanaugh-1,2016-17,George Washington,F,35,35,1126,200,446,.448,133,282,.472,67,164,.409,173,204,.848,87,207,294,71,19,14,93,98,640,13.3
54,Bonzie Colson\bonzie-colson-1,2016-17,Notre Dame,F,36,36,1156,236,449,.526,210,389,.540,26,60,.433,141,180,.783,104,258,362,56,40,50,44,81,639,16.4
55,Kyle Wiltjer\kyle-wiltjer-1,2014-15,Gonzaga,F,38,37,1049,242,448,.540,174,302,.576,68,146,.466,86,109,.789,51,184,235,71,18,25,43,62,638,13.7
56,Tyler Cavanaugh\tyler-cavanaugh-1,2015-16,George Washington,F,38,38,1157,209,414,.505,156,287,.544,53,127,.417,167,202,.827,76,213,289,46,21,10,79,95,638,12.6
57,Yante Maten\yante-maten-1,2017-18,Georgia,F,33,33,1131,207,446,.464,178,361,.493,29,85,.341,193,241,.801,116,167,283,51,15,49,67,72,636,15.4
58,Dillon Brooks\dillon-brooks-1,2015-16,Oregon,F,38,38,1247,231,492,.470,183,350,.523,48,142,.338,125,155,.806,77,129,206,119,40,15,89,112,635,12.2
59,Domantas Sabonis\domantas-sabonis-1,2015-16,Gonzaga,F,36,31,1149,239,391,.611,234,377,.621,5,14,.357,150,195,.769,110,316,426,64,22,31,92,115,633,15.5
60,John Collins\john-collins-1,2016-17,Wake Forest,F,33,33,878,234,376,.622,234,375,.624,0,1,.000,164,220,.745,124,200,324,17,21,52,60,98,632,16.9
61,Ben Simmons\ben-simmons-1,2015-16,Louisiana State,F,33,32,1151,216,386,.560,215,383,.561,1,3,.333,199,297,.670,103,285,388,158,65,27,111,92,632,18.6
62,Shawn Long\shawn-long-1,2013-14,Louisiana,F,34,32,999,239,458,.522,206,380,.542,33,78,.423,120,178,.674,121,232,353,19,23,91,73,119,631,15.2
63,Bobby Portis\bobby-portis-1,2014-15,Arkansas,F,36,36,1076,250,466,.536,236,436,.541,14,30,.467,115,156,.737,133,188,321,42,39,50,56,78,629,15.3
64,Jordan Washington\jordan-washington-1,2016-17,Iona,F,35,26,760,233,422,.552,232,418,.555,1,4,.250,162,236,.686,83,182,265,22,32,14,78,122,629,12.6
65,DeAndre Bembry\deandre-bembry-1,2015-16,Saint Joseph's,F,36,35,1341,238,497,.479,204,369,.553,34,128,.266,117,178,.657,51,228,279,161,51,30,73,88,627,14.7
66,DeSean Murray\desean-murray-1,2015-16,Presbyterian,F,31,31,902,232,427,.543,232,420,.552,0,7,.000,163,211,.773,74,154,228,53,62,17,95,94,627,15.4
67,Justin Tillman\justin-tillman-1,2017-18,Virginia Commonwealth,F,33,33,1010,248,445,.557,221,363,.609,27,82,.329,102,156,.654,109,218,327,15,11,34,56,78,625,14.9
68,Luke Maye\luke-maye-1,2017-18,North Carolina,F,37,37,1193,251,516,.486,201,400,.503,50,116,.431,73,117,.624,113,260,373,88,36,38,69,92,625,14.1
69,Martin Breunig\martin-breunig-1,2015-16,Montana,F,33,33,1005,228,367,.621,225,357,.630,3,10,.300,165,233,.708,97,201,298,48,22,37,73,110,624,15.9
70,Yoeli Childs\yoeli-childs-1,2017-18,Brigham Young,F,35,34,1191,246,455,.541,231,407,.568,15,48,.313,117,182,.643,70,231,301,77,30,63,76,79,624,14.8
71,Jarrod Uthoff\jarrod-uthoff-1,2015-16,Iowa,F,33,33,1016,218,487,.448,152,314,.484,66,173,.382,122,150,.813,48,161,209,36,32,86,38,51,624,15.2
72,Jacorey Williams\jacorey-williams-1,2016-17,Middle Tennessee,F,36,36,1069,258,484,.533,256,469,.546,2,15,.133,103,148,.696,63,201,264,56,32,17,60,72,621,12.9
73,Jakob Poeltl\jakob-poeltl-1,2015-16,Utah,F,36,36,1093,228,353,.646,228,353,.646,0,0,,164,237,.692,102,225,327,70,21,56,74,83,620,16.0
74,Desmond Williams\desmond-williams-1,2017-18,Florida A&M,F,34,33,1212,221,504,.438,210,463,.454,11,41,.268,164,222,.739,60,148,208,64,40,25,100,78,617,11.4
75,John Brown\john-brown-3,2014-15,High Point,F,32,29,995,242,440,.550,242,434,.558,0,6,.000,133,176,.756,101,91,192,39,39,33,53,66,617,15.5
76,Erik Thomas\erik-thomas-1,2016-17,New Orleans,F,32,29,1043,223,379,.588,219,362,.605,4,17,.235,166,212,.783,95,155,250,73,47,11,88,68,616,16.4
77,K.J. McDaniels\kj-mcdaniels-1,2013-14,Clemson,F,36,35,1212,209,455,.459,167,317,.527,42,138,.304,154,183,.842,86,169,255,57,41,100,83,80,614,14.3
78,Dedric Lawson\dedric-lawson-1,2016-17,Memphis,F,32,32,1104,216,469,.461,186,358,.520,30,111,.270,152,205,.741,92,225,317,105,41,68,76,81,614,16.8
79,Jordon Varnado\jordon-varnado-1,2016-17,Troy,F,37,37,1068,233,442,.527,205,365,.562,28,77,.364,118,168,.702,76,188,264,50,19,51,70,100,612,12.6
80,Stephen Maxwell\stephen-maxwell-1,2013-14,Cal State Northridge,F,35,35,1210,216,395,.547,216,395,.547,0,0,,180,239,.753,129,180,309,20,26,3,80,87,612,13.4
81,Melvin Ejim\melvin-ejim-1,2013-14,Iowa State,F,34,33,1093,220,436,.505,176,309,.570,44,127,.346,121,159,.761,88,197,285,62,40,23,78,111,605,13.8
82,Lamar Stevens\lamar-stevens-1,2017-18,Penn State,F,39,39,1290,231,497,.465,201,403,.499,30,94,.319,112,161,.696,54,178,232,74,24,43,87,93,604,10.3
83,John Brown\john-brown-3,2013-14,High Point,F,31,31,986,224,411,.545,224,406,.552,0,5,.000,155,208,.745,105,134,239,60,47,51,49,79,603,17.5
84,Marcus Georges-Hunt\marcus-georges-hunt-1,2015-16,Georgia Tech,F,36,36,1167,178,392,.454,138,275,.502,40,117,.342,205,249,.823,32,90,122,119,31,16,73,94,601,12.3
85,Julius Randle\julius-randle-1,2013-14,Kentucky,F,40,40,1233,196,391,.501,193,373,.517,3,18,.167,204,289,.706,139,277,416,57,20,31,101,91,599,12.4
86,Antonio Campbell\antonio-campbell-1,2015-16,Ohio,F,35,35,1013,237,423,.560,194,306,.634,43,117,.368,81,111,.730,74,283,357,23,23,63,44,111,598,14.7
87,Marc Eddy Norelia\marc-eddy-norelia-1,2015-16,Florida Gulf Coast,F,35,34,1148,234,429,.545,234,427,.548,0,2,.000,129,192,.672,107,218,325,45,39,28,63,73,597,14.4
88,Kevin Hervey\kevin-hervey-1,2016-17,Texas-Arlington,F,35,28,973,208,454,.458,140,255,.549,68,199,.342,113,150,.753,49,250,299,74,43,14,66,65,597,13.4
89,Cameron Forte\cameron-forte-1,2015-16,Portland State,F,31,19,907,244,421,.580,243,419,.580,1,2,.500,107,194,.552,106,182,288,80,30,15,99,65,596,15.0
90,Justin Johnson\justin-johnson-7,2017-18,Western Kentucky,F,38,38,1314,239,464,.515,192,351,.547,47,113,.416,70,123,.569,84,276,360,48,27,28,57,69,595,12.7
91,Jerome Robinson\jerome-robinson-2,2016-17,Boston College,F,32,32,1089,212,502,.422,158,340,.465,54,162,.333,117,162,.722,19,104,123,108,55,12,102,89,595,11.1
92,Alex Francis\alex-francis-1,2013-14,Bryant,F,32,32,1152,225,390,.577,225,390,.577,0,0,,145,236,.614,85,177,262,46,37,26,97,93,595,13.8
93,Dikembe Dixson\dikembe-dixson-1,2015-16,Illinois-Chicago,F,30,30,1102,192,520,.369,151,385,.392,41,135,.304,169,256,.660,43,177,220,55,35,14,124,77,594,9.5
94,Javonte Green\javonte-green-1,2013-14,Radford,F,35,34,897,212,387,.548,200,352,.568,12,35,.343,157,229,.686,81,204,285,37,68,21,56,97,593,14.6
95,Bakari Copeland\bakari-copeland-1,2016-17,Maryland-Eastern Shore,F,34,34,1028,194,417,.465,154,322,.478,40,95,.421,164,212,.774,39,169,208,56,19,7,78,85,592,11.4
96,Cleanthony Early\cleanthony-early-1,2013-14,Wichita State,F,36,36,986,187,386,.484,121,209,.579,66,177,.373,151,179,.844,48,165,213,27,29,28,70,83,591,12.0
97,Gabe Levin\gabe-levin-1,2017-18,Cal State Long Beach,F,32,32,991,194,426,.455,171,365,.468,23,61,.377,180,221,.814,68,164,232,52,32,22,93,85,591,12.7
98,Ethan Happ\ethan-happ-1,2017-18,Wisconsin,F,33,33,1017,242,458,.528,241,447,.539,1,11,.091,105,191,.550,78,187,265,122,49,35,93,87,590,14.4
99,Brad Waldow\brad-waldow-1,2014-15,Saint Mary's (CA),F,31,31,1068,235,421,.558,235,421,.558,0,0,,120,182,.659,90,193,283,69,16,23,66,73,590,15.2
100,Elijah Minnie\elijah-minnie-1,2017-18,Eastern Michigan,F,35,34,1098,210,464,.453,132,233,.567,78,231,.338,91,108,.843,49,165,214,39,63,66,81,68,589,13.0
101,Johnathan Motley\johnathan-motley-1,2016-17,Baylor,F,34,34,1036,226,433,.522,217,401,.541,9,32,.281,128,183,.699,126,209,335,79,12,36,100,104,589,13.4
102,T.J. Cline\tj-cline-1,2015-16,Richmond,F,32,32,961,228,408,.559,184,289,.637,44,119,.370,88,137,.642,38,129,167,122,21,3,72,87,588,13.8
103,Erik McCree\erik-mccree-1,2016-17,Louisiana Tech,F,33,33,1046,202,424,.476,148,275,.538,54,149,.362,127,165,.770,53,242,295,44,15,15,84,53,585,12.6
104,Nick Perkins\nick-perkins-2,2017-18,Buffalo,F,36,10,990,211,445,.474,175,332,.527,36,113,.319,126,172,.733,80,137,217,28,11,23,72,85,584,10.5
105,Juwan Howard\juwan-howard--1,2013-14,Detroit Mercy,F,32,32,1105,216,515,.419,163,361,.452,53,154,.344,99,118,.839,57,113,170,71,31,15,62,75,584,11.7
106,Hayden Dalton\hayden-dalton-1,2017-18,Wyoming,F,33,33,1098,190,415,.458,105,204,.515,85,211,.403,119,142,.838,46,213,259,86,31,16,82,90,584,13.4
107,Jamel Artis\jamel-artis-1,2016-17,Pittsburgh,F,32,31,1097,196,413,.475,122,224,.545,74,189,.392,116,158,.734,40,116,156,106,13,9,83,61,582,12.6
108,Miles Bridges\miles-bridges-1,2017-18,Michigan State,F,34,33,1067,209,457,.457,138,262,.527,71,195,.364,93,109,.853,43,194,237,92,21,26,67,53,582,13.0
109,Jaron Blossomgame\jaron-blossomgame-1,2016-17,Clemson,F,33,33,1133,219,440,.498,195,346,.564,24,94,.255,119,167,.713,59,148,207,51,27,30,56,53,581,13.1
110,Tanner Leissner\tanner-leissner-1,2017-18,New Hampshire,F,31,31,1111,195,432,.451,157,317,.495,38,115,.330,153,199,.769,81,133,214,62,15,10,50,65,581,13.7
111,Jaron Blossomgame\jaron-blossomgame-1,2015-16,Clemson,F,31,31,1060,201,392,.513,156,290,.538,45,102,.441,133,170,.782,55,152,207,47,23,41,55,63,580,14.8
112,Shawn Prudhomme\shawn-prudhomme-1,2016-17,Southern,F,33,31,1103,212,480,.442,137,275,.498,75,205,.366,80,112,.714,45,150,195,44,33,32,65,88,579,11.4
113,Justin Moss\justin-moss--1,2014-15,Buffalo,F,33,32,991,203,390,.521,203,386,.526,0,4,.000,173,237,.730,91,211,302,21,32,25,73,98,579,13.4
114,Tyler Stone\tyler-stone-1,2013-14,Southeast Missouri State,F,30,26,1005,223,410,.544,200,342,.585,23,68,.338,109,153,.712,73,211,284,58,29,46,51,83,578,16.5
115,Juwan Howard\juwan-howard--1,2014-15,Detroit Mercy,F,33,32,1042,208,479,.434,144,322,.447,64,157,.408,96,113,.850,35,100,135,78,31,10,69,67,576,11.2
116,Lauri Markkanen\lauri-markkanen-1,2016-17,Arizona,F,37,37,1140,185,376,.492,116,213,.545,69,163,.423,137,164,.835,88,178,266,32,15,19,40,73,576,12.8
117,Kevin Knox\kevin-knox-1,2017-18,Kentucky,F,37,37,1198,196,440,.445,139,273,.509,57,167,.341,127,164,.774,33,167,200,53,31,10,85,82,576,9.8
118,Jameel Warney\jameel-warney-1,2014-15,Stony Brook,F,35,34,1156,243,452,.538,243,452,.538,0,0,,89,155,.574,150,259,409,72,26,87,59,74,575,16.0
119,Nick Mayo\nick-mayo-1,2016-17,Eastern Kentucky,F,31,31,1092,203,403,.504,171,321,.533,32,82,.390,137,177,.774,45,156,201,88,27,41,93,77,575,13.9
120,Nathan Knight\nathan-knight-1,2017-18,William & Mary,F,31,30,890,206,358,.575,195,322,.606,11,36,.306,150,195,.769,58,168,226,69,18,61,83,103,573,14.9
121,Kavin Gilder-Tilbury\kavin-gilder-tilbury-1,2016-17,Texas State,F,36,36,1103,205,415,.494,134,228,.588,71,187,.380,92,140,.657,37,165,202,64,43,34,69,103,573,11.7
122,Justin Strings\justin-strings-1,2017-18,Sacramento State,F,32,32,1157,223,522,.427,193,416,.464,30,106,.283,97,157,.618,46,179,225,75,19,30,73,77,573,10.9
123,Dan Trist\dan-trist-1,2014-15,Lafayette,F,33,32,892,230,399,.576,230,399,.576,0,0,,110,141,.780,76,146,222,43,12,23,75,71,570,12.8
124,Alec Peters\alec-peters-1,2014-15,Valparaiso,F,34,34,1039,195,399,.489,112,221,.507,83,178,.466,97,117,.829,64,163,227,42,24,11,49,67,570,12.9
125,Moritz Wagner\moritz-wagner-1,2017-18,Michigan,F,39,39,1078,216,409,.528,153,249,.614,63,160,.394,75,108,.694,57,221,278,33,38,20,56,120,570,11.1
126,TJ Leaf\tj-leaf-1,2016-17,UCLA,F,35,35,1048,235,381,.617,208,323,.644,27,58,.466,72,106,.679,78,209,287,85,22,39,52,89,569,14.9
127,Torrey Craig\torrey-craig-1,2013-14,South Carolina Upstate,F,34,34,1113,204,500,.408,136,267,.509,68,233,.292,93,151,.616,67,170,237,77,31,28,84,84,569,10.7
128,Derick Newton\derick-newton-2,2016-17,Stetson,F,32,31,1012,184,399,.461,123,234,.526,61,165,.370,139,171,.813,42,140,182,41,19,8,57,51,568,12.4
129,Georges Niang\georges-niang-1,2013-14,Iowa State,F,34,34,1025,222,468,.474,174,321,.542,48,147,.327,75,104,.721,34,118,152,123,21,21,82,109,567,10.9
130,J.R. Holder\jr-holder-1,2016-17,Jacksonville,F,32,32,1080,200,389,.514,155,265,.585,45,124,.363,120,167,.719,34,78,112,61,36,15,84,60,565,11.9
131,Devontae Cacok\devontae-cacok-1,2017-18,North Carolina-Wilmington,F,32,29,942,221,378,.585,221,378,.585,0,0,,123,201,.612,162,269,431,28,33,18,72,124,565,15.5
132,Joel Bolomboy\joel-bolomboy-1,2015-16,Weber State,F,33,33,1041,193,337,.573,173,282,.613,20,55,.364,159,228,.697,109,306,415,35,23,40,78,73,565,15.6
133,Dillon Brooks\dillon-brooks-1,2016-17,Oregon,F,35,27,886,206,422,.488,149,280,.532,57,142,.401,95,126,.754,35,78,113,95,38,18,72,97,564,11.2
134,Tim Williams\tim-williams-3,2013-14,Samford,F,32,32,1057,217,361,.601,216,358,.603,1,3,.333,129,172,.750,64,171,235,24,43,45,59,75,564,15.0
135,Jalen Cannon\jalen-cannon-1,2014-15,St. Francis (NY),F,35,35,1184,210,404,.520,183,323,.567,27,81,.333,117,168,.696,139,228,367,34,24,27,58,60,564,14.1
136,Tres Tinkle\tres-tinkle-1,2017-18,Oregon State,F,32,32,1164,192,407,.472,144,260,.554,48,147,.327,131,156,.840,56,175,231,117,45,18,93,88,563,14.0
137,Jermaine Crumpton\jermaine-crumpton-1,2017-18,Canisius,F,33,33,1063,205,426,.481,158,279,.566,47,147,.320,106,139,.763,66,111,177,50,23,17,59,60,563,12.1
138,Elgin Cook\elgin-cook-1,2015-16,Oregon,F,38,38,1213,191,405,.472,170,342,.497,21,63,.333,160,207,.773,59,136,195,88,54,13,80,107,563,11.1
139,Yante Maten\yante-maten-1,2015-16,Georgia,F,34,34,1020,212,427,.496,204,412,.495,8,15,.533,130,166,.783,89,184,273,27,9,62,76,92,562,12.0
140,Rodney Hood\rodney-hood-1,2013-14,Duke,F,35,33,1150,191,412,.464,120,243,.494,71,169,.420,109,135,.807,29,109,138,75,25,9,54,91,562,11.0
141,C.J. Fair\cj-fair-1,2013-14,Syracuse,F,34,34,1284,217,506,.429,193,419,.461,24,87,.276,103,142,.725,59,160,219,43,44,27,85,71,561,10.2
142,Henry Ellenson\henry-ellenson-1,2015-16,Marquette,F,33,33,1107,194,435,.446,164,331,.495,30,104,.288,143,191,.749,71,250,321,59,28,49,78,84,561,13.1
143,B.J. Johnson\bj-johnson-2,2017-18,La Salle,F,27,27,951,194,435,.446,147,304,.484,47,131,.359,126,145,.869,57,168,225,20,35,19,68,57,561,14.4
144,Z Mason\z-mason-1,2013-14,Chattanooga,F,31,31,939,201,410,.490,161,293,.549,40,117,.342,119,167,.713,91,209,300,24,28,92,74,72,561,15.1
145,Cameron Oliver\cameron-oliver-1,2016-17,Nevada,F,35,33,1115,202,434,.465,136,262,.519,66,172,.384,90,130,.692,57,247,304,64,29,91,83,101,560,12.8
146,Christian Standhardinger\christian-standhardinger-1,2013-14,Hawaii,F,31,31,989,176,371,.474,163,324,.503,13,47,.277,195,254,.768,92,169,261,46,42,23,85,89,560,13.9
147,Brandon McCoy\brandon-mccoy-1,2017-18,Nevada-Las Vegas,F,33,33,949,208,382,.545,205,373,.550,3,9,.333,140,193,.725,103,238,341,17,15,60,87,87,559,13.5
148,Jarnell Stokes\jarnell-stokes-1,2013-14,Tennessee,F,37,37,1199,199,375,.531,199,375,.531,0,0,,160,230,.696,155,237,392,75,26,34,77,73,558,14.1
149,Aaron White\aaron-white-3,2014-15,Iowa,F,34,34,1070,171,328,.521,150,269,.558,21,59,.356,195,238,.819,71,177,248,48,45,16,41,53,558,15.0
150,Jarell Martin\jarell-martin-1,2014-15,Louisiana State,F,33,32,1159,202,397,.509,188,345,.545,14,52,.269,140,203,.690,98,207,305,59,38,23,92,92,558,13.1
151,Shawn Long\shawn-long-1,2014-15,Louisiana,F,34,34,951,205,378,.542,177,301,.588,28,77,.364,120,182,.659,103,243,346,50,22,56,78,106,558,13.9
