"Pick","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc"
1,1.06856162925366,1.16924553797571,1.36201394980569,1.23471011874741,1.49119605195916,2.13918751061916,1.85247391644132,0.856493327780498,0.742223470619567,0.919990354137314,1.06269165283402,0.97931559473895,1.26823626103175,0.864916815655769,0.70046169364266,1.17389355861729,1.08185634520563,1.00231857716237,0.405021771770456
2,0.902331722293866,0.843393189203153,1.05670763000425,0.817835544687866,1.05631946256483,1.15575571654974,0.988438477433544,0.753765341188029,0.718448417566209,0.509271501038414,0.900823669552851,0.937909764859927,1.16113242298831,0.739487650679688,0.572273033954582,1.03799865139931,1.00569681051291,1.15941893421876,0.32228517540035
3,0.771411834187554,0.680531033578234,0.772994013486032,0.717166279603611,0.742004173315244,0.753180409372654,0.63715835744403,0.496315009788639,0.458330340522441,0.489986809516082,0.62515589896379,0.547369166661555,0.606496592576889,0.61541816862602,0.625715288590896,0.449627045529776,0.772675046160078,0.683709299684865,0.27163045068291
4,1.00942558894863,0.731408409216437,0.928458827038795,0.873379967464857,1.06510568296083,1.09292551852873,1.27520851717826,0.880225906801196,0.860556402375559,0.508473198128772,0.661133313365227,0.919677083646127,1.47275601417216,0.525894054333609,0.546429460559564,0.922817138208333,1.03159353556032,0.887844628507577,0.56097252644184
5,1.00827213971548,0.907004865439987,1.02025597101396,0.924468750698333,1.21468004969224,1.16829644021402,1.08579646717871,0.774884510760217,0.983507889602375,1.05515472182139,0.945193950740227,0.844097715888566,1.58476518982947,0.864455425352747,0.914361228352914,1.1419291619466,1.33928310727645,1.28021058370451,0.336315559390648
10,0.780227486660455,0.569882997974554,0.716834307426748,0.640836146400535,0.983957741492082,0.747585582434354,0.716428118963519,0.353214075348449,0.393191160696258,0.569162723953644,0.698503288503793,0.718185152465683,0.934712448855053,0.863700002270077,0.666645786294283,0.639728158556798,0.956046749464563,0.587775290555471,0.254339976778452
20,0.725526664752008,0.853737917726072,1.07059430676384,0.97567844994231,0.844898379860325,1.14870825638694,1.22281300395232,0.630103368267138,0.539261544341972,0.727287415413338,0.938763579372757,0.984138918505193,0.862471984273421,0.854103073611568,1.60895491141229,0.881560846013325,0.985071374799106,0.878215178451346,0.390677431198232
30,0.55412412660624,0.612299363499949,0.685150967102952,0.53940226454476,0.995103995216899,0.986405503790793,0.533482914205317,0.456596509174376,0.44905697260919,0.479308909288186,0.956168127799899,0.965761910266348,0.556455909399605,0.643891939020097,0.947622825295704,0.695633265992325,1.16513376403722,0.836670340985677,0.236652111064464
40,0.537991969559125,0.513606042086304,0.589813474451578,0.526433211974218,0.596640100637218,0.752567142676881,0.554773979481924,0.404977477326302,0.375012540482629,0.567285065333372,0.524632893462773,0.870765768840116,0.525397163981731,0.772368151028479,0.910647185747876,0.549914635904103,0.903935343949004,0.659544101935829,0.251665709968835
50,0.612279155998074,0.739760440787712,1.1011033095782,1.07319916038133,0.687850384355246,0.72245596964606,0.612524090477866,0.831627654414213,0.594653473065124,1.75720019689005,0.833752008027592,1.53481659356017,0.511100491060869,1.17585985879617,1.11651604082799,0.800921514697626,1.04290612455597,0.887426143734623,0.32428591048519
60,0.462844278177166,0.708179522963408,0.570315018951319,0.541106338947801,0.421131350454036,0.346511678285872,0.383216954786828,0.366633302477258,0.286350452840439,0.814816876197642,0.40661857462567,0.519179807581519,0.439111209420301,1.1120942140297,0.517217959428486,0.456858065973198,0.667942739517937,0.710030108022056,0.405563737233755
